organism	gene	uniprot	is_eukaryote	length	n_pdb	methods	best_resolution_A	max_coverage_frac	exp_mf	exp_bp	exp_cc	exp_total	any_experimental	n_contested_cat_mf	contested_cat_mf
worm	tir-1	Q86DA5	1	981	2	EM	2.68	0.725	9	18	4	31	1	0	
yeast	PNC1	P53184	1	216	2	X-ray	2.71	1.000	1	4	4	9	1	0	
yeast	SET1	P38827	1	1080	2	EM;X-ray	3.00	0.295	56	25	21	102	1	0	
yeast	SIR2	P06700	1	562	2	X-ray	1.85	0.847	26	19	8	53	1	1	GO:0016740|transferase activity|REMOVE
yeast	TIM10	P87108	1	93	2	EM;X-ray	2.50	1.000	10	4	7	21	1	0	
yeast	TIM9	O74700	1	87	2	EM;X-ray	2.50	1.000	4	6	8	18	1	0	
yeast	VMA22	P38784	1	181	2	EM	2.60	1.000	2	2	2	6	1	0	
ACET2	P15329	P15329	0	224	1	X-ray	1.40	0.629	0	0	0	0	0	3	GO:0004553|hydrolase activity, hydrolyzing O-glycosyl compounds|REMOVE;GO:0008810|cellulase activity|REMOVE;GO:0016798|hydrolase activity, acting on glycosyl bonds|REMOVE
ACET2	Q01866	Q01866	0	772	1	X-ray	2.11	0.000	0	0	0	0	0	1	GO:0004553|hydrolase activity, hydrolyzing O-glycosyl compounds|REMOVE
ACET2	ancA	Q06848	0	447	1	X-ray	1.95	0.327	0	0	0	0	0	0	
ACET2	celD	A3DDN1	0	649	1	X-ray	2.90	0.102	0	0	0	0	0	3	GO:0004553|hydrolase activity, hydrolyzing O-glycosyl compounds|MARK_AS_OVER_ANNOTATED;GO:0016787|hydrolase activity|MARK_AS_OVER_ANNOTATED;GO:0016798|hydrolase activity, acting on glycosyl bonds|MARK_AS_OVER_ANNOTATED
ARATH	AG	P17839	1	252	1	X-ray	2.40	0.373	13	4	1	18	1	0	
ARATH	AT5G05410	O82132	1	335	1	NMR		0.054	18	9	4	31	1	0	
ARATH	EIN3	O24606	1	628	1	X-ray	1.78	0.212	8	6	1	15	1	0	
ARATH	GI	Q9SQI2	1	1173	1	X-ray	3.50	0.693	22	9	3	34	1	0	
ARATH	HEN1	Q9C5Q8	1	942	1	X-ray	3.10	1.000	2	8	2	12	1	1	GO:0003755|peptidyl-prolyl cis-trans isomerase activity|REMOVE
ARATH	MYC2	Q39204	1	623	1	X-ray	2.70	0.128	50	16	4	70	1	0	
ARATH	SVP	Q9FVC1	1	240	1	X-ray	2.21	0.421	20	3	1	24	1	0	
ARATH	TFL1	P93003	1	177	1	X-ray	1.80	1.000	1	4	6	11	1	0	
ARATH	WRI1	Q6X5Y6	1	430	1	X-ray	2.35	0.581	3	8	0	11	1	0	
BACSU	aadK	P17585	0	284	1	X-ray	2.65	0.996	5	3	1	9	1	0	
BACSU	minC	Q01463	0	226	1	NMR		0.451	1	1	0	2	1	0	
BACSU	sigE	P06222	0	239	1	X-ray	2.38	0.343	0	0	0	0	0	0	
BACSU	spo0A	P06534	0	267	1	X-ray	2.30	0.449	0	5	0	5	1	0	
BACSU	spoVAD	P40869	0	338	1	X-ray	2.50	1.000	0	0	2	2	1	1	GO:0016746|acyltransferase activity|REMOVE
BPT4	37	P03744	0	1026	1	X-ray	2.20	0.236	0	0	0	0	0	0	
BPT4	48	P13339	0	364	1	EM	4.11	1.000	0	0	1	1	1	0	
BPT4	54	P13341	0	320	1	EM	4.11	1.000	0	0	1	1	1	0	
BPT4	arn	P39510	0	92	1	X-ray	1.90	1.000	0	0	0	0	0	0	
BPT4	denA	P07059	0	136	1	X-ray	1.90	1.000	0	0	0	0	0	0	
BPT4	frd	P04382	0	193	1	X-ray	1.70	1.000	1	0	0	1	1	0	
BPZF4	AcrF8	H9C181	0	92	1	EM	3.42	1.000	0	0	0	0	0	0	
CHLRE	LCI5	Q94ET8	1	321	1	EM	2.13	0.075	0	0	0	0	0	0	
DANRE	cryaa	Q8UUZ6	1	173	1	X-ray	1.75	0.613	2	2	0	4	1	0	
DANRE	he1.2	Q1LW01	1	263	1	X-ray	1.10	0.757	3	3	1	7	1	0	
DORPE	cpx	Q95PA1	1	152	1	X-ray	2.95	0.487	0	0	0	0	0	0	
ECOLI	RidA	P0AF93	0	128	1	X-ray	1.20	1.000	3	2	4	9	1	0	
ECOLI	glgX	P15067	0	657	1	X-ray	2.25	1.000	0	0	0	3	1	0	
ECOLI	lpd	P0A9P0	0	474	1	X-ray	2.50	1.000	0	0	0	29	1	0	
KLEPN	rmtF	I1YZZ5	0	259	1	X-ray	1.85	1.000	0	0	0	0	0	0	
MEDTR	NFP	Q0GXS4	1	595	1	X-ray	2.55	0.370	2	10	2	14	1	1	GO:0004672|protein kinase activity|REMOVE
METEA	mxaG	P14774	0	197	1	X-ray	1.60	0.873	0	0	0	0	0	0	
METEA	pqqE	P71517	0	384	1	X-ray	3.20	0.971	0	0	0	0	0	0	
METEA	xoxJ	C5B122	0	284	1	X-ray	2.27	1.000	0	0	0	0	0	0	
ORYSJ	HD3A	Q93WI9	1	179	1	X-ray	2.40	0.922	0	9	0	9	1	0	
POPTR	PRX2	A9PCL4	1	162	1	X-ray	1.62	1.000	0	0	0	0	0	0	
PSEPK	algK	Q88NC7	0	484	1	X-ray	2.46	0.934	0	0	0	0	0	0	
PSEPK	aroE	Q88IJ7	0	272	1	X-ray	1.71	1.000	0	0	0	0	0	1	GO:0016491|oxidoreductase activity|MARK_AS_OVER_ANNOTATED
PSEPK	earP	Q88LS1	0	377	1	X-ray	2.29	0.997	1	0	0	1	1	0	
PSEPK	galB	Q88JX8	0	258	1	X-ray	2.10	0.926	1	1	0	2	1	1	GO:0016811|hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides|REMOVE
PSEPK	pcaB	Q88N37	0	450	1	X-ray	2.60	1.000	0	0	0	0	0	2	GO:0003824|catalytic activity|MARK_AS_OVER_ANNOTATED;GO:0016829|lyase activity|MARK_AS_OVER_ANNOTATED
PSEPK	pobA	Q88H28	0	395	1	X-ray	2.20	1.000	0	0	0	0	0	2	GO:0016491|oxidoreductase activity|MARK_AS_OVER_ANNOTATED;GO:0016709|oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen|MARK_AS_OVER_ANNOTATED
PSEPK	quiC1	Q88JU3	0	635	1	X-ray	2.37	1.000	2	0	0	2	1	0	
PSEPK	quiC1_qsuB	Q88JU3	0	635	1	X-ray	2.37	1.000	2	0	0	2	1	0	
SCHPO	atg101	O13978	1	184	1	X-ray	3.00	1.000	3	2	5	10	1	0	
SCHPO	atg13	O36019	1	758	1	X-ray	3.00	0.314	6	3	5	14	1	0	
SCHPO	cdc15	Q09822	1	927	1	X-ray	3.52	0.317	24	11	24	59	1	0	
SCHPO	dcr1	Q09884	1	1374	1	NMR		0.073	5	13	20	38	1	1	GO:0016787|hydrolase activity|MARK_AS_OVER_ANNOTATED
SCHPO	mad2	O14417	1	203	1	X-ray	2.30	1.000	9	9	12	30	1	0	
SCHPO	mid1	P78953	1	920	1	X-ray	2.80	0.340	12	8	23	43	1	0	
SCHPO	pap1	Q01663	1	552	1	X-ray	2.00	0.127	43	10	31	84	1	0	
SCHPO	rad21	P30776	1	628	1	EM	3.94	1.000	3	12	16	31	1	0	
SCHPO	slp1	P78972	1	488	1	X-ray	2.30	0.822	12	8	7	27	1	0	
SOLLC	PR1B1	P04284	1	159	1	NMR		0.849	0	0	0	0	0	0	
human	ABCB7	O75027	1	752	1	EM	3.30	0.904	6	5	4	15	1	0	
human	ACIN1	Q9UKV3	1	1341	1	X-ray	1.65	0.069	17	5	6	28	1	0	
human	AGK	Q53H12	1	422	1	EM	3.70	1.000	7	3	12	22	1	3	GO:0001729|ceramide kinase activity|REMOVE;GO:0001729|ceramide kinase activity|REMOVE;GO:0001729|ceramide kinase activity|REMOVE
human	AGO4	Q9HCK5	1	861	1	X-ray	1.90	1.000	11	7	6	24	1	1	GO:0004521|RNA endonuclease activity|REMOVE
human	AGR3	Q8TD06	1	166	1	X-ray	1.83	0.861	33	0	1	34	1	0	
human	AGRN	O00468	1	2068	1	EM	3.80	1.000	2	2	10	14	1	0	
human	AKIRIN2	Q53H80	1	203	1	EM	2.80	1.000	16	3	3	22	1	0	
human	AKTIP	Q9H8T0	1	292	1	EM	3.20	1.000	26	7	6	39	1	0	
human	ANKS6	Q68DC2	1	871	1	X-ray	1.50	0.080	27	0	0	27	1	0	
human	AP4B1	Q9Y6B7	1	739	1	NMR		0.176	3	0	4	7	1	0	
human	APIP	Q96GX9	1	242	1	X-ray	2.00	0.921	33	6	1	40	1	0	
human	ARSB	P15848	1	533	1	X-ray	2.50	0.923	2	3	1	6	1	0	
human	ASAH2	Q9NR71	1	780	1	X-ray	2.58	0.874	9	18	4	31	1	0	
human	ASCC1	Q8N9N2	1	400	1	X-ray	2.80	0.470	4	1	6	11	1	0	
human	ATF4	P18848	1	351	1	X-ray	2.60	0.177	131	35	15	181	1	0	
human	BOLA3	Q53S33	1	107	1	NMR		0.757	12	0	3	15	1	0	
human	CAND2	O75155	1	1236	1	EM	3.49	1.000	6	0	1	7	1	0	
human	CCDC47	Q96A33	1	483	1	EM	3.84	1.000	16	6	10	32	1	0	
human	CFAP61	Q8NHU2	1	1237	1	EM	4.10	1.000	0	3	3	6	1	0	
human	CGRRF1	Q99675	1	332	1	NMR		0.166	28	0	2	30	1	0	
human	CHIC2	Q9UKJ5	1	165	1	X-ray	1.63	0.073	64	0	1	65	1	0	
human	CHMP2B	Q9UQN3	1	213	1	NMR		0.089	14	28	18	60	1	0	
human	CIAO1	O76071	1	339	1	X-ray	1.70	1.000	42	3	7	52	1	0	
human	COMP	P49747	1	757	1	X-ray	3.15	0.704	27	4	6	37	1	0	
human	COPG1	Q9Y678	1	874	1	X-ray	1.90	0.305	0	0	1	1	1	0	
human	COX4I1	P13073	1	169	1	EM	3.60	0.852	9	0	8	17	1	0	
human	COX5B	P10606	1	129	1	EM	3.60	0.760	44	0	4	48	1	0	
human	COX6A1	P12074	1	109	1	EM	3.60	0.688	3	0	5	8	1	0	
human	COX6B1	P14854	1	86	1	EM	3.60	0.953	0	1	5	6	1	1	GO:0004129|cytochrome-c oxidase activity|MARK_AS_OVER_ANNOTATED
human	CPT1C	Q8TCG5	1	803	1	NMR		0.062	2	0	1	3	1	2	GO:0016740|transferase activity|REMOVE;GO:0016746|acyltransferase activity|REMOVE
human	CRISP2	P16562	1	243	1	NMR		0.148	0	0	0	0	0	0	
human	DNAJA2	O60884	1	412	1	EM	6.90	1.000	15	1	2	18	1	0	
human	DNAJB13	P59910	1	316	1	EM	4.10	1.000	12	1	5	18	1	0	
human	DNAJB2	P25686	1	324	1	NMR		0.281	15	12	3	30	1	0	
human	DNAJC12	Q9UKB3	1	198	1	NMR		0.500	3	0	1	4	1	0	
human	DNAJC17	Q9NVM6	1	304	1	NMR		0.286	3	0	0	3	1	0	
human	DNAJC24	Q6P3W2	1	149	1	NMR		0.993	3	1	0	4	1	0	
human	DNAJC27	Q9NZQ0	1	273	1	NMR		0.282	2	0	0	2	1	1	GO:0003924|GTPase activity|MARK_AS_OVER_ANNOTATED
human	DNAJC30	Q96LL9	1	226	1	NMR		0.381	25	0	2	27	1	0	
human	DSCAM	O60469	1	2012	1	X-ray	1.85	0.144	8	2	0	10	1	0	
human	ENDOU	P21128	1	410	1	X-ray	1.65	1.000	5	4	1	10	1	1	GO:0008236|serine-type peptidase activity|REMOVE
human	ENPP5	Q9UJA9	1	477	1	X-ray	2.60	0.851	2	0	0	2	1	0	
human	ERLIN1	O75477	1	348	1	EM	3.00	0.994	22	6	5	33	1	0	
human	ERLIN2	O94905	1	339	1	EM	3.00	1.000	15	6	7	28	1	0	
human	FAF2	Q96CS3	1	445	1	NMR		0.121	18	4	7	29	1	0	
human	FBXL3	Q9UKT7	1	428	1	X-ray	2.70	1.000	10	2	2	14	1	0	
human	FBXO30	Q8TB52	1	745	1	NMR		0.117	2	0	0	2	1	0	
human	FBXO41	Q8TF61	1	875	1	X-ray	1.98	0.008	0	0	0	0	0	0	
human	FBXW8	Q8N3Y1	1	598	1	EM	2.80	1.000	12	7	11	30	1	0	
human	GADD45A	P24522	1	165	1	NMR		1.000	25	11	4	40	1	0	
human	GLMN	Q92990	1	594	1	X-ray	3.00	1.000	16	11	4	31	1	0	
human	GMFG	O60234	1	142	1	X-ray	1.90	0.944	0	0	0	0	0	1	GO:0004860|protein kinase inhibitor activity|REMOVE
human	GMNC	A6NCL1	1	334	1	X-ray	2.20	0.254	1	0	0	1	1	0	
human	HSCB	Q8IWL3	1	235	1	X-ray	3.00	0.877	28	1	5	34	1	0	
human	HSPA1L	P34931	1	641	1	X-ray	1.80	0.602	9	2	3	14	1	0	
human	HSPA6	P17066	1	643	1	X-ray	2.20	0.591	26	4	6	36	1	0	
human	HSPB2	Q16082	1	182	1	X-ray	3.90	1.000	25	0	3	28	1	0	
human	HSPB3	Q12988	1	150	1	X-ray	3.90	0.993	0	0	3	3	1	0	
human	HSPB8	Q9UJY1	1	196	1	X-ray	1.95	0.418	36	2	6	44	1	0	
human	IFIT2	P09913	1	472	1	X-ray	2.80	1.000	13	5	3	21	1	0	
human	IFIT3	O14879	1	490	1	X-ray	2.54	0.090	37	4	6	47	1	0	
human	IFNL4	K9M1U5	1	179	1	EM	3.26	0.888	1	2	2	5	1	0	
human	IGFBP3	P17936	1	291	1	EM	3.60	0.907	13	7	3	23	1	0	
human	INTU	Q9ULD6	1	942	1	EM	3.35	0.999	4	3	4	11	1	0	
human	KCTD8	Q6ZWB6	1	473	1	X-ray	2.80	0.258	2	0	0	2	1	0	
human	LRPPRC	P42704	1	1394	1	EM	2.85	1.000	19	2	13	34	1	0	
human	MAP7	Q14244	1	749	1	EM	3.30	1.000	8	0	2	10	1	0	
human	MLEC	Q14165	1	292	1	EM	3.50	1.000	7	0	1	8	1	0	
human	MVB12A	Q96EY5	1	273	1	X-ray	2.19	0.084	8	3	10	21	1	0	
human	MVB12B	Q9H7P6	1	319	1	X-ray	1.34	0.458	6	3	9	18	1	0	
human	NAA38	Q9BRA0	1	125	1	EM	3.64	1.000	7	1	6	14	1	0	
human	NDUFA4	O00483	1	81	1	EM	3.60	0.975	4	0	5	9	1	2	GO:0008137|NADH dehydrogenase (ubiquinone) activity|REMOVE;GO:0008137|NADH dehydrogenase (ubiquinone) activity|REMOVE
human	OLA1	Q9NTK5	1	396	1	X-ray	2.70	1.000	4	1	6	11	1	0	
human	OTUD3	Q5T2D3	1	398	1	X-ray	1.55	0.397	11	14	3	28	1	0	
human	PARD6A	Q9NPB6	1	346	1	X-ray	1.50	0.237	36	3	5	44	1	0	
human	PDGFA	P04085	1	211	1	X-ray	2.40	0.763	11	26	4	41	1	0	
human	PGRMC1	O00264	1	195	1	X-ray	1.95	0.636	33	3	1	37	1	0	
human	PHF23	Q9BUL5	1	403	1	X-ray	2.90	0.139	9	3	2	14	1	0	
human	PLD4	Q96BZ4	1	506	1	X-ray	3.00	0.883	0	0	0	0	0	0	
human	PPP2R1B	P30154	1	601	1	EM	3.20	1.000	27	2	2	31	1	0	
human	PTS	Q03393	1	145	1	X-ray	2.30	0.959	23	0	2	25	1	0	
human	RAB9B	Q9NP90	1	201	1	X-ray	2.20	0.891	4	1	1	6	1	0	
human	RFXAP	O00287	1	272	1	NMR		0.217	13	3	4	20	1	0	
human	RUBCN	Q92622	1	972	1	X-ray	2.80	0.258	38	4	5	47	1	0	
human	RUNX3	Q13761	1	415	1	X-ray	2.80	0.022	17	4	6	27	1	0	
human	SCN1A	P35498	1	2009	1	EM	3.30	1.000	4	2	4	10	1	0	
human	SCO2	O43819	1	266	1	NMR		0.628	8	2	4	14	1	0	
human	SDHC	Q99643	1	169	1	EM	2.86	1.000	5	0	2	7	1	0	
human	SDHD	O14521	1	159	1	EM	2.86	1.000	1	1	3	5	1	0	
human	SEC11A	P67812	1	179	1	EM	4.90	1.000	8	2	3	13	1	0	
human	SEC11C	Q9BY50	1	192	1	EM	4.90	1.000	30	2	3	35	1	0	
human	SEC62	Q99442	1	399	1	X-ray	2.00	0.040	2	3	2	7	1	0	
human	SOCS4	Q8WXH5	1	440	1	X-ray	2.55	0.373	15	1	0	16	1	0	
human	SOX9	P48436	1	509	1	X-ray	2.77	0.165	21	36	7	64	1	0	
human	SPDL1	Q96EA4	1	605	1	X-ray	2.80	0.165	14	4	3	21	1	0	
human	SPNS1	Q9H2V7	1	528	1	EM	3.22	0.896	2	1	3	6	1	0	
human	SRPRB	Q9Y5M8	1	271	1	EM	3.20	1.000	3	0	4	7	1	0	
human	SSR1	P43307	1	286	1	EM	7.60	1.000	7	0	1	8	1	0	
human	SSR2	P43308	1	183	1	EM	7.60	1.000	1	0	0	1	1	0	
human	STOM	P27105	1	288	1	NMR		0.378	81	0	14	95	1	0	
human	STX12	Q86Y82	1	276	1	NMR		0.424	52	3	7	62	1	0	
human	SYCE3	A1L190	1	88	1	X-ray	1.90	1.000	11	0	0	11	1	0	
human	SYN3	O14994	1	580	1	X-ray	1.90	0.590	2	0	0	2	1	0	
human	TIMM22	Q9Y584	1	194	1	EM	3.70	1.000	5	4	7	16	1	0	
human	TIMM44	O43615	1	452	1	X-ray	1.90	0.414	9	0	6	15	1	0	
human	TMEM67	Q5HYA8	1	995	1	EM	3.34	1.000	10	4	5	19	1	0	
human	TPM3	P06753	1	285	1	X-ray	2.40	0.260	64	0	3	67	1	0	
human	USO1	O60763	1	962	1	X-ray	2.22	0.600	8	0	2	10	1	0	
human	UVRAG	Q9P2Y5	1	699	1	EM	9.80	1.000	48	12	10	70	1	0	
human	VPS28	Q9UK41	1	221	1	X-ray	2.19	0.552	41	4	18	63	1	0	
human	VPS37A	Q8NEZ2	1	397	1	NMR		0.322	25	1	6	32	1	0	
human	VPS37B	Q9H9H4	1	285	1	X-ray	2.19	0.249	47	2	13	62	1	0	
human	ZFYVE26	Q68DK2	1	2539	1	EM	4.02	1.000	13	7	11	31	1	0	
mouse	Ang2	Q64438	1	145	1	X-ray	1.64	0.834	1	10	0	11	1	0	
mouse	Brca1	P48754	1	1812	1	NMR		0.029	3	8	8	19	1	1	GO:0016740|transferase activity|MARK_AS_OVER_ANNOTATED
mouse	Cbl	P22682	1	913	1	NMR		0.044	25	9	4	38	1	0	
mouse	F2rl2	O08675	1	369	1	X-ray	2.00	0.035	2	2	1	5	1	0	
mouse	Frmpd2	A0A140LI67	1	1392	1	X-ray	1.80	0.068	0	0	0	0	0	0	
mouse	Fyn	P39688	1	537	1	X-ray	1.98	0.304	52	47	11	110	1	1	GO:0004713|protein tyrosine kinase activity|REMOVE
mouse	Hras	Q61411	1	189	1	X-ray	3.30	0.884	10	29	0	39	1	0	
mouse	Hspa8	P63017	1	646	1	X-ray	2.30	0.590	20	25	31	76	1	0	
mouse	Rab7	P51150	1	207	1	X-ray	2.14	0.850	11	5	25	41	1	0	
rat	Oaz1	P54370	1	227	1	NMR		0.555	3	7	2	12	1	0	
rat	Ppp3r1	P63100	1	170	1	X-ray	3.00	0.994	0	0	0	0	0	0	
rat	Rnase1	P00684	1	152	1	X-ray	2.50	0.809	0	0	0	0	0	0	
worm	car-1	Q9XW17	1	340	1	X-ray	3.03	0.250	2	1	15	18	1	0	
worm	epg-5	Q18892	1	2352	1	X-ray	1.60	0.005	0	2	1	3	1	0	
worm	hsp-4	P20163	1	657	1	X-ray	1.85	0.227	1	5	1	7	1	0	
worm	hsp-6	P11141	1	657	1	X-ray	1.72	0.225	0	2	1	3	1	0	
worm	lbp-8	O02324	1	137	1	X-ray	1.30	1.000	3	1	2	6	1	0	
worm	mex-5	Q9XUB2	1	468	1	NMR		0.075	6	2	4	12	1	0	
worm	pgl-1	Q9TZQ3	1	730	1	X-ray	3.60	0.333	5	5	4	14	1	2	GO:0003724|RNA helicase activity|REMOVE;GO:0016787|hydrolase activity|MARK_AS_OVER_ANNOTATED
worm	skn-1	P34707	1	623	1	X-ray	2.50	0.135	12	39	7	58	1	0	
yeast	CPR7	P47103	1	393	1	X-ray	1.80	1.000	22	1	1	24	1	0	
yeast	ERG19	P32377	1	396	1	X-ray	2.27	1.000	4	2	1	7	1	0	
yeast	HDA1	P53973	1	706	1	X-ray	2.72	0.343	17	5	4	26	1	0	
yeast	HSP26	P15992	1	214	1	EM	7.80	1.000	31	2	6	39	1	0	
yeast	SSA4	P22202	1	642	1	X-ray	1.60	0.011	12	4	2	18	1	0	
yeast	SSZ1	P38788	1	538	1	EM	6.00	1.000	54	7	1	62	1	0	
yeast	TIM22	Q12328	1	207	1	EM	3.83	0.995	5	5	6	16	1	0	
yeast	TSA1	P34760	1	196	1	X-ray	2.80	1.000	17	30	4	51	1	0	
yeast	UBP3	Q01477	1	912	1	X-ray	1.69	0.048	20	16	5	41	1	0	
yeast	YAR1	P46683	1	200	1	X-ray	2.84	1.000	4	8	3	15	1	0	
