species	gene	citation	correctness	source	relevance	cited_title	review_notes
human	FASN	PMID:18455495	MISCITED	GOA	LOW	Differential activation of recombinant human acetyl-CoA carboxylases 1 and 2 by citrate.	Reactome-linked EXP citation for FASN fatty acid synthase activity (GO:0004312). The cached abstract is about acetyl-CoA carboxylase (ACACA/ACACB) activation by citrate, the enzyme immediately upstream of FASN, and does not itself demonstrate FASN activity. Retained (experimental annotation, not removed) but the core FASN activity is better supported by PMID:8962082 and PMID:26851298.
human	FEN1	PMID:19946888	MISCITED	GOA	NONE	Defining the membrane proteome of NK cells.	PubMed-verified as a real NK-cell membrane proteome study, but it does not support membrane localization of FEN1. The authors state that only ~40% of identified proteins were plausible membrane proteins and that the rest were proteins transiently or adventitiously associated with the membrane fraction. Basis for the REMOVE on GO:0016020.
human	FEN1	PMID:8007985	MISCITED	GOA	LOW	Structural and functional conservation of the human homolog of the Schizosaccharomyces pombe rad2 gene, which is required for chromosome segregation and recovery from DNA damage.	PubMed-verified; cached record is abstract-only (full_text_available: false). The abstract reports cloning of the human homolog of S. pombe rad2 and complementation of the UV sensitivity of a rad2 null mutant, and describes no damaged-DNA-binding experiment. The GO:0003684 REMOVE therefore rests primarily on the positive argument that FEN1 discriminates branch geometry rather than base damage, not on a claim about the unread full text; the GO:0009650 'UV protection' annotation rests only on heterologous complementation of a fission yeast phenotype.
human	FLG	PMID:17704059	MISCITED	GOA	LOW	Role of ADAM-9 disintegrin-cysteine-rich domains in human keratinocyte migration.	Cited by GOA as TAS for FLG involvement in keratinocyte differentiation, but the paper is about ADAM-9 disintegrin-cysteine-rich domains, beta1 integrin engagement and keratinocyte migration. Filaggrin is not its subject and the abstract does not mention it. The annotated term is nonetheless correct for FLG on other evidence; the reference should be replaced with PMID:32165560.
human	G6PD	PMID:22926577	MISCITED	GOA	LOW	Quantitative proteomic analysis of human substantia nigra in Alzheimer's disease, Huntington's disease and Multiple sclerosis.	Disease proteomics survey; detection/altered expression does not support a substantia nigra developmental role for G6PD (HEP annotation over-interpreted).
human	GALNS	PMID:8325655	MISCITED	GOA	LOW	Mucopolysaccharidosis IV A: assignment of the human N-acetylgalactosamine-6-sulfate sulfatase (GALNS) gene to chromosome 16q24.	This is a gene-mapping (FISH/chromosome-assignment) abstract for GALNS. It was cited (TAS) to support GO:0003943 N-acetylgalactosamine-4-sulfatase activity, but GALNS is a 6-sulfatase (EC 3.1.6.4); the 4-sulfatase is ARSB. The paper does not support a 4-sulfatase activity.
human	GALT	PMID:20605918	MISCITED	GOA	NONE	The Lyn kinase C-lobe mediates Golgi export of Lyn through conformation-dependent ACSL3 association.	Paper is about Lyn kinase/ACSL3 Golgi trafficking, not GALT. Cited as the basis of a GALT Golgi-apparatus IDA that is almost certainly mis-attributed; that localization is therefore flagged as MARK_AS_OVER_ANNOTATED (retained, not removed, pending full-text confirmation).
human	GAMT	PMID:8547310	MISCITED	GOA	MEDIUM	Cloning and sequence analysis of human guanidinoacetate N-methyltransferase cDNA.	Correctly identifies and clones human GAMT cDNA, but is used to support a 'muscle contraction' (GO:0006936) annotation, which is a distal physiological consequence rather than a direct GAMT process.
human	GGT1	PMID:15528406	MISCITED	GOA	NONE	Hemoxygenase-2 is an oxygen sensor for a calcium-sensitive potassium channel.	Paper is about hemoxygenase-2 as an oxygen sensor for the BK (KCNMA1) channel and does not concern GGT1. Cited only as the source of a bare protein-binding IPI (partner Q12791 KCNMA1); does not support a functional GGT1 interaction.
human	GLB1	PMID:11927518	MISCITED	GOA	LOW	Endothelial cell senescence in human atherosclerosis: role of telomere in endothelial dysfunction.	Measures senescence-associated beta-galactosidase (SA-beta-gal) histochemical staining as a senescence marker; does not biochemically characterize GLB1 substrate specificity or localization. The IDA beta-galactosidase-activity, carbohydrate-metabolic-process, and cytoplasm annotations derived from it are over-annotations.
human	GLB1	PMID:15498789	MISCITED	GOA	LOW	Role of a novel EGF-like domain-containing gene NGX6 in cell adhesion modulation in nasopharyngeal carcinoma cells.	Paper concerns NGX6 and cell adhesion in nasopharyngeal carcinoma; does not establish a physiologically meaningful GLB1 protein interaction. Supports only a bare, uninformative protein-binding annotation.
human	GLB1	PMID:32296183	MISCITED	GOA	LOW	A reference map of the human binary protein interactome.	High-throughput binary (Y2H) interactome map; the reported GLB1 partners (GOLM1, SLC10A6, SLC30A2, SLC7A1) are likely non-physiological screen hits and support only a bare protein-binding annotation.
human	GLDC	PMID:2268343	MISCITED	GOA	LOW	One of the two genomic copies of the glycine decarboxylase cDNA has been deleted at a 5' region in a patient with nonketotic hyperglycinemia.	Abstract-only cache; PubMed-verified. The paper describes a genomic deletion of the glycine decarboxylase gene in an NKH patient and does NOT support the electron transfer activity (GO:0009055) it is cited for; that MF annotation is an over-annotation/mis-assignment for the P protein.
human	GLUD1	PMID:22926577	MISCITED	GOA	LOW	Quantitative proteomic analysis of human substantia nigra in Alzheimer's disease, Huntington's disease and Multiple sclerosis.	Proteomic abundance survey of substantia nigra in neurodegenerative disease. Detection/differential abundance does not support a role in substantia nigra development; the derived GO annotation is an over-interpretation.
human	GPAA1	PMID:12052837	MISCITED	GOA	MEDIUM	Structural requirements for the recruitment of Gaa1 into a functional glycosylphosphatidylinositol transamidase complex.	Concerns ER retention/sorting of GAA1 itself and complex assembly via its luminal domain; does NOT support 'protein retention in ER lumen' (GO:0006621) as a GPAA1 function acting on other proteins - that annotation is a term/paper mismatch. Relevant for localization/assembly. Abstract-only.
human	GPI	PMID:7435496	MISCITED	GOA	MEDIUM	The first stable variant of erythrocyte glucose-phosphate isomerase associated with severe hemolytic anemia.	Describes a stable GPI variant causing hemolytic anemia with altered F6P/G6P kinetics; it does not support a role in hemostasis, so the TAS hemostasis annotation appears mis-mapped.
human	GUSB	PMID:20028034	MISCITED	GOA	LOW	Residues essential for plasminogen binding by the cation-independent mannose 6-phosphate receptor.	"Full text verified. The paper is about the CI-MPR's plasminogen-binding site; human beta-glucuronidase is used only as a mannose-6-phosphate reference ligand purified on a CI-MPR affinity column. It supports M6P-receptor recognition (a trafficking event), not ""signaling receptor binding"" or a signaling function of GUSB; used here as basis for the over-annotation calls on the IPI binding terms."
human	HMGCS1	PMID:7911016	MISCITED	GOA	LOW	Molecular cloning and nucleotide sequence of complementary DNA for human hepatic cytosolic acetoacetyl-coenzyme A thiolase.	This paper is about cytosolic acetoacetyl-CoA thiolase (ACAT2), the enzyme immediately UPSTREAM of HMGCS1 in the mevalonate pathway, not about HMGCS1 itself. It is used only as the reference for a curator IC (inferred from GO:0004421) placing HMGCS1 in cholesterol biosynthesis. The conclusion (HMGCS1 acts in cholesterol biosynthesis) is correct, but the reference is not about this gene.
human	HPRT1	PMID:8643611	MISCITED	GOA	MEDIUM	Dopamine transporters are markedly reduced in Lesch-Nyhan disease in vivo.	Documents reduced striatal DA transporters in LND patients (a downstream disease phenotype); does not establish an HPRT1 molecular function of regulating dopamine metabolism. Underlies an over-annotated GO:0045964 annotation.
human	INPP5D	PMID:9485206	MISCITED	GOA	MEDIUM	Inhibition of antigen-induced T cell response and antibody-induced NK cell cytotoxicity by NKG2A: association of NKG2A with SHP-1 and SHP-2 protein-tyrosine phosphatases.	Abstract explicitly says NKG2A phospho-ITIMs associate with SHP-1/SHP-2 but not SHIP; corresponding protein-binding annotation removed.
human	ITIH1	PMID:2446322	MISCITED	GOA	MEDIUM	Isolation and characterization of cDNAs encoding the heavy chain of human inter-alpha-trypsin inhibitor (I alpha TI): unambiguous evidence for multipolypeptide chain structure of I alpha TI.	PubMed identity and abstract were checked. The paper supports HC1 cDNA, liver expression, and multipolypeptide complex structure, but only predicts potential calcium-binding sites; it does not establish calcium ion binding.
human	ITIH3	PMID:2465147	MISCITED	GOA	MEDIUM	Human plasma inter-alpha-trypsin inhibitor is encoded by four genes on three chromosomes.	PubMed identity and abstract were checked. The paper establishes the H3 cDNA, liver RNA, and gene organization but does not demonstrate intrinsic endopeptidase-inhibitor activity in HC3; it is therefore not adequate support for the TAS molecular-function annotation.
human	ITIH4	PMID:9756925	MISCITED	GOA	NONE	Human inter-alpha-trypsin inhibitor heavy chain H3 gene. Genomic organization, promoter analysis, and gene linkage.	The PMID and title are internally correct, but the paper is an ITIH3 gene/promoter study. It mentions linkage to ITIH4 only and does not support a TAS assertion of ITIH4 endopeptidase inhibitor activity.
human	KDSR	PMID:34080016	MISCITED	GOA	LOW	Glucosylceramide and galactosylceramide, small glycosphingolipids with significant impact on health and disease.	Review of glucosyl-/galactosylceramide biology; does not mention or assay KDSR. Cited for a glycosphingolipid biosynthesis annotation that is several enzymatic steps downstream of KDSR - a pathway-level over-annotation.
human	LOX	PMID:22919265	MISCITED	GOA	NONE	Yeast two-hybrid analysis of a human trabecular meshwork cDNA library identified EFEMP2 as a novel PITX2 interacting protein.	The cached full text identifies EFEMP2 as a PITX2-interacting protein in trabecular-meshwork experiments and does not assay or mention LOX. It cannot support a LOX protein-binding annotation.
human	LPCAT4	Reactome:R-HSA-1483166	MISCITED	GOA	LOW	Synthesis of PA	Generic PA-synthesis pathway is not sound LPCAT4 functional evidence; direct LPCAT4 assays in PMID:18458083 and PMID:41740885 found no appreciable LPA acylation.
human	LPCAT4	Reactome:R-HSA-75885	MISCITED	GOA	LOW	1-acyl LPA is acylated to PA by AGPAT (LPAAT)	Generic AGPAT/LPAAT reaction does not explicitly identify LPCAT4 and conflicts with direct LPCAT4 assays showing no appreciable LPA acylation.
human	LRCH4	PMID:16449650	MISCITED	GOA	NONE	Identification and characterization of SAP25, a novel component of the mSin3 corepressor complex.	The PMID/title and full PMC article were checked externally; the project cache remains abstract-only, which is why full_text_unavailable is retained. This paper characterizes SAP25/Q8TEE9; searches of the full article for LRCH4, O75427, LRN and LRRN aliases found no LRCH4 evidence. The PML-body result belongs to SAP25, so this source does not support an LRCH4 nuclear localization or function.
human	LRCH4	PMID:9799793	MISCITED	GOA	MEDIUM	Large-scale sequencing of two regions in human chromosome 7q22: analysis of 650 kb of genomic sequence around the EPO and CUTL1 loci reveals 17 genes.	PubMed title and identifier are verified and the paper is relevant to discovery of the locus. However, it reports only weak sequence similarity to a neuronal protein and contains no developmental assay; it does not support the TAS claim that human LRCH4 is involved in nervous-system development.
human	LRP4	PMID:18289866	MISCITED	GOA	NONE	LRP promotes endocytosis and degradation, but not transcytosis, of the amyloid-beta peptide in a blood-brain barrier in vitro model.	This is a verified construct-name collision. “mLRP4” denotes a mini-receptor derived from LRP in a canine-cell BBB model, not human LRP4/O75096.
human	LRP4	PMID:20093106	MISCITED	GOA	NONE	The low-density lipoprotein receptor-related protein 10 is a negative regulator of the canonical Wnt/beta-catenin signaling pathway.	The abstract and title concern the distinct current LRP10 gene product, not LRP4/O75096. Because the cache is abstract-only, it cannot resolve how this citation became associated with LRP4, but it does not provide direct LRP4 support.
human	LRP5	PMID:11029007	MISCITED	GOA	LOW	LDL-receptor-related proteins in Wnt signal transduction.	PubMed title and abstract were verified. The experiments described in the accessible record concern LRP6 in Xenopus and Wnt/Fz assays; LRP5 appears only as a mammalian homolog of Arrow. The abstract therefore does not support a positive experimental LRP5 pathway annotation.
human	LRP5	PMID:11433302	MISCITED	GOA	NONE	Novel mechanism of Wnt signalling inhibition mediated by Dickkopf-1 interaction with LRP6/Arrow.	PubMed title and abstract were verified. The accessible evidence is explicitly about human DKK1 binding LRP6/Arrow, not LRP5, so it cannot verify the seeded LRP5-DKK1 IPI row.
human	LRP5	PMID:12121999	MISCITED	GOA	MEDIUM	A novel set of Wnt-Frizzled fusion proteins identifies receptor components that activate beta -catenin-dependent signaling.	PubMed title and abstract were verified. The LRP5 result in this specific construct context is negative, so the paper is informative for receptor selectivity but does not support a positive LRP5 canonical-pathway IDA.
human	LRP5	PMID:12857724	MISCITED	GOA	NONE	Functional characterization of WNT7A signaling in PC12 cells: interaction with A FZD5 x LRP6 receptor complex and modulation by Dickkopf proteins.	PubMed title and abstract were verified. This rat PC12 study explicitly assays FZD5-LRP6, not LRP5, and therefore does not support the seeded positive LRP5 transcription or canonical-Wnt annotations.
human	LRP5	PMID:20093360	MISCITED	GOA	LOW	Reconstitution of a frizzled8.Wnt3a.LRP6 signaling complex reveals multiple Wnt and Dkk1 binding sites on LRP6.	PubMed title and abstract were verified. The paper provides strong LRP6 structural-biochemical evidence and only family-level LRP5/6 background; it does not directly establish membership of human LRP5 in the assayed complex.
human	LRP5	PMID:21471202	MISCITED	GOA	NONE	Bone overgrowth-associated mutations in the LRP4 gene impair sclerostin facilitator function.	PubMed title and abstract were verified. This source explicitly studies LRP4 and cannot support the seeded LRP5-SOST IPI row; the distinct direct LRP5-SOST evidence is PMID:15908424.
human	LRP5	Reactome:R-NUL-1458902	MISCITED	GOA	NONE	frog CK1gamma phosphorylates LRP5/6	Cached Reactome event verified. Despite its display-name shorthand, the event text is a frog LRP6 phosphorylation result and does not support plasma-membrane localization of human LRP5.
human	LRP6	PMID:18721193	MISCITED	GOA	NONE	LRP5 in premature adrenarche and in metabolic characteristics of prepubertal children.	The identifier and title are correct, but the paper studies LRP5 genetic associations and provides no LRP6 interaction evidence in the accessible record. It is miscited for an LRP6 IPI.
human	LRP6	PMID:21471202	MISCITED	GOA	LOW	Bone overgrowth-associated mutations in the LRP4 gene impair sclerostin facilitator function.	The identifier/title are correct, but the paper directly establishes LRP4-sclerostin binding and function, not LRP6 binding. It is miscited for the LRP6 IPI; direct LRP6-SOST evidence is instead in PMID:15778503 and PMID:15908424.
human	LRP6	Reactome:R-HSA-4641236	MISCITED	GOA	LOW	USP8 deubiquitinates FZD to potentiate WNT signaling	The cached Reactome event is about USP8-dependent FZD deubiquitination/recycling and does not mention LRP6. It is miscited for an LRP6 plasma-membrane location assertion.
human	LRP6	Reactome:R-HSA-5340587	MISCITED	GOA	LOW	RNF43 frameshift mutants show enhanced WNT siganling	The cached Reactome event describes RNF43-mutant effects on FZD abundance and Wnt signaling without identifying LRP6. It is miscited for an LRP6 plasma-membrane location assertion.
human	LRP6	Reactome:R-NUL-1458871	MISCITED	GOA	MEDIUM	mFz8CRD binds LRP6N in vitro	The cached event uses soluble mouse Fzd8 and human LRP6 ectodomain constructs in conditioned medium. It verifies a Wnt-dependent fragment association but is miscited for native extracellular localization of full-length LRP6.
human	LRP6	Reactome:R-NUL-1458902	MISCITED	GOA	MEDIUM	frog CK1gamma phosphorylates LRP5/6	The cached event supports phosphorylation of LRP6 by Xenopus CK1gamma but does not establish the seeded human LRP6 plasma-membrane localization claim.
human	LRP6	Reactome:R-NUL-209104	MISCITED	GOA	MEDIUM	Frog CKIgamma further phosphorylates Human LRP6 in the receptor complex	The cached event states that frog CKIgamma phosphorylates human LRP6 in a receptor complex; it does not independently establish plasma-membrane localization.
human	MBL2	PMID:2477488	MISCITED	GOA	LOW	Lipopolysaccharide (LPS) binding protein opsonizes LPS-bearing particles for recognition by a novel receptor on macrophages.	This paper is about lipopolysaccharide-binding protein (LBP), an acute-phase opsonin - NOT MBL2, and it does not assay MBL. The functions it is used to ground for MBL2 (opsonization, acute-phase response, defense response to bacterium, cell surface) are independently true of MBL but are correctly supported by other references; the D-mannose binding TAS attributed to this paper is not supported by it at all. Treat as a likely wrong-paper / over-broad TAS citation.
human	MDH1	PMID:8786100	MISCITED	GOA	MEDIUM	Molecular cloning and mapping of a human cDNA for cytosolic malate dehydrogenase (MDH1).	"cDNA cloning and chromosomal mapping (2p15) of cytosolic MDH1; supports the cytosol localization. Does NOT support the ""malic enzyme activity"" molecular function it is cited for (that MF is EC 1.1.1.40, a different enzyme)."
human	MMUT	PMID:20031578	MISCITED	GOA	LOW	Novel associations of CPS1, MUT, NOX4, and DPEP1 with plasma homocysteine in a healthy population: a genome-wide evaluation of 13 974 participants in the Women's Genome Health Study.	"A GWAS associating a MUT-locus SNP with plasma homocysteine. The paper itself states MUT's catalytic activity is ""hardly related to homocysteine""; it does not support direct involvement of MMUT in homocysteine metabolic process or binding of a modified amino acid, so the IDA annotations to GO:0050667 and GO:0072341 are over-interpretations."
human	MOCOS	GO_REF:0000104	MISCITED	GOA	LOW	Electronic Gene Ontology annotations created by transferring manual GO annotations between related proteins based on shared sequence features	UniRule sequence-feature transfer that yields GO:0016829 lyase activity for MOCOS. MOCOS is a sulfurtransferase (EC 2.8.1.9); the terminal reaction transfers sulfur to the Moco rather than performing a lyase (bond-cleaving, non-hydrolytic) reaction, so the lyase MF is an incorrect over-propagation for this protein.
human	MTHFD1	PMID:3528153	MISCITED	GOA	LOW	Purification and characterization of a mitochondrial isozyme of C1-tetrahydrofolate synthase from Saccharomyces cerevisiae.	This is the yeast MITOCHONDRIAL C1-THF synthase isozyme (the paralog of MTHFD2/MTHFD1L), and the paper explicitly states the cytoplasmic synthase is NOT mitochondrial. It does not support a mitochondrial location for human cytoplasmic MTHFD1.
human	MTHFR	PMID:20031578	MISCITED	GOA	MEDIUM	Novel associations of CPS1, MUT, NOX4, and DPEP1 with plasma homocysteine in a healthy population: a genome-wide evaluation of 13 974 participants in the Women's Genome Health Study.	"A GWAS of plasma homocysteine that confirms the MTHFR locus association. It does NOT provide direct (IDA) evidence for MTHFR ""modified amino acid binding"" or a direct homocysteine-metabolic assay; the IDA annotations sourced to it are over-attributed."
human	MTRR	PMID:21071249	MISCITED	GOA	LOW	Interaction between MMACHC and MMADHC, two human proteins participating in intracellular vitamin B₁₂ metabolism.	PubMed-verified paper, but it characterises the MMACHC-MMADHC interaction and does not establish a molecular carrier function for MTRR. Cited by Reactome for the GO:0140104 molecular carrier activity annotation on MTRR, which it does not support; the MTRR molecular carrier annotation is flagged as over-annotated.
human	MVK	PMID:16732551	MISCITED	GOA	LOW	AA amyloidosis complicating hyperimmunoglobulinemia D with periodic fever syndrome: a report of two cases.	Cited to support GO:0050728 negative regulation of inflammatory response, but this is a two-patient AA amyloidosis case report and does not demonstrate a direct MK-mediated regulation of inflammation; the inflammatory phenotype is a downstream consequence of MKD.
human	NAMPT	PMID:23001182	MISCITED	GOA	LOW	Interactions among HCLS1, HAX1 and LEF-1 proteins are essential for G-CSF-triggered granulopoiesis.	Paper is about HCLS1/HAX1/LEF-1; NAMPT is only a pathway component. Does not support a direct positive-regulation-of-Pol-II-transcription MF/BP role for NAMPT.
human	NANP	GO_REF:0000041	MISCITED	GOA	LOW	Gene Ontology annotation based on UniPathway vocabulary mapping	UniPathway mapping (UPA00630 = N-acetylneuraminate biosynthesis) was mapped to GO:0006045 N-acetylglucosamine biosynthetic process, which is the wrong process; the correct target is N-acetylneuraminate biosynthesis (GO:0046380).
human	NDUFA6	PMID:9345899	MISCITED	GOA	LOW	In situ hybridisation mapping of genomic clones for five human respiratory chain complex I genes.	This is a chromosomal gene-mapping (in situ hybridisation) study; it maps NDUFA6 to 21q22 but does not demonstrate any catalytic (NADH dehydrogenase) activity of NDUFA6. Cited as TAS for GO:0008137 (enables), which it does not support; used here to justify MARK_AS_OVER_ANNOTATED of that MF.
human	NDUFC2	Reactome:R-HSA-6798739	MISCITED	GOA	LOW	Exocytosis of azurophil granule membrane proteins	Neutrophil degranulation pathway that seeds plasma-membrane and azurophil-granule-membrane localizations for NDUFC2; these are implausible for a mitochondrial Complex I subunit (pathway bulk over-inclusion).
human	NDUFS3	PMID:22926577	MISCITED	GOA	LOW	Quantitative proteomic analysis of human substantia nigra in Alzheimer's disease, Huntington's disease and Multiple sclerosis.	PubMed-verified identifier, but the paper is a differential-abundance proteomics survey; it does not support a role for NDUFS3 in substantia nigra development. The HEP substantia nigra development annotation is an over-annotation.
human	NQO2	GO_REF:0000033	MISCITED	GOA	LOW	Annotation inferences using phylogenetic trees	The IBA propagated GO:0003955 (NAD(P)H dehydrogenase (quinone) activity, EC 1.6.5.2) to NQO2, but NQO2 uses NRH rather than NAD(P)H; the phylogenetic inference over-generalizes the family cofactor. The IBA cytosol annotation is correct.
human	NT5C3A	PMID:9428647	MISCITED	GOA	MEDIUM	Pyrimidine nucleotidases from human erythrocyte possess phosphotransferase activities specific for pyrimidine nucleotides.	PubMed-verified. Cited as support for GO:0000215 (tRNA 2'-phosphotransferase activity), but the paper describes a pyrimidine-nucleotide phosphotransferase, not a tRNA 2'-phosphotransferase; the GO:0000215 annotation is a mis-mapping.
human	PAPSS1	PMID:23207770	MISCITED	GOA	LOW	Ethanol sulfation by the human cytosolic sulfotransferases: a systematic analysis.	PubMed-verified paper, but it studies SULT sulfotransferases and 35S-sulfate labeling; it is a weak/indirect source for the PAPSS1 APS-kinase and PAPS-biosynthesis IDA annotations attributed to it (CAFA-assigned).
human	PAPSS1	PMID:9771708	MISCITED	GOA	LOW	Mutations in orthologous genes in human spondyloepimetaphyseal dysplasia and the brachymorphic mouse.	PubMed-verified, but the paper is about PAPSS2/ATPSK2, not PAPSS1; it does not support a skeletal-development role specific to PAPSS1.
human	PCBD1	GO_REF:0000107	MISCITED	GOA	LOW	Automatic transfer of experimentally verified manual GO annotation data to orthologs using Ensembl Compara	The Ensembl Compara transfer from mouse Pcbd1 produced an incorrect GO:0004505 (phenylalanine 4-monooxygenase activity) annotation on PCBD1. That activity belongs to PAH, not PCBD1; this is an over-propagation artifact and the resulting annotation is recommended for removal.
human	PGD	PMID:3858849	MISCITED	GOA	LOW	6-Phosphogluconolactonase deficiency, a hereditary erythrocyte enzyme deficiency: possible interaction with glucose-6-phosphate dehydrogenase deficiency.	Cited to support the PGD oxidative-branch IDA, but the abstract concerns 6-phosphogluconolactonase (PGLS, EC 3.1.1.31), the second oxiPPP enzyme, and its interaction with G6PD deficiency, not PGD. Abstract-only; associated annotation left UNDECIDED rather than removed.
human	PHKG2	PMID:8999860	MISCITED	GOA	LOW	The regulatory Ser262 of microtubule-associated protein tau is phosphorylated by phosphorylase kinase.	Demonstrates in-vitro tau phosphorylation by rabbit skeletal muscle phosphorylase kinase (muscle PHKG1 holoenzyme), not the liver/testis PHKG2 isoform; supports an over-annotated, non-physiological activity for PHKG2.
human	PLCG2	PMID:18784435	MISCITED	GOA	LOW	Molecular profiling of isolated histological components of wilms tumor implicates a common role for the Wnt signaling pathway in kidney and tumor development.	Cached abstract is an expression-profiling Wilms tumor paper and does not establish PLCG2 as a Wnt signaling component; used to remove the Wnt annotation.
human	PMM2	PMID:9525984	MISCITED	GOA	LOW	Carbohydrate-deficient glycoprotein syndrome type Ib. Phosphomannose isomerase deficiency and mannose therapy.	Cited as the IMP source for PMM2 GDP-mannose biosynthetic process, but the paper is about phosphomannose isomerase (PMI/MPI) deficiency / CDG-Ib and mannose therapy - a different enzyme catalyzing F6P<->Man6P and a different gene (MPI). The GO term is still correct for PMM2 and is strongly supported by other references, so the annotation was kept; the citation itself appears mis-attributed. Recommendation: FlyBase should re-examine and correct this IMP annotation, since its supporting evidence derives from a different enzyme (PMI/MPI, CDG-Ib) and does not assay the PMM2 mutase step.
human	PNPO	PMID:34800366	MISCITED	GOA	LOW	Quantitative high-confidence human mitochondrial proteome and its dynamics in cellular context.	Large-scale mitochondrial proteome study; used to support a mitochondrion localization for PNPO, but PNPO is a canonical cytosolic enzyme and the cached full text does not specifically establish PNPO as a mitochondrial resident. Likely reflects cytosolic contamination; annotation flagged as over-annotation.
human	POFUT1	PMID:11698403	MISCITED	GOA	LOW	Composition of Drosophila melanogaster proteome involved in fucosylated glycan metabolism.	PubMed-verified, but this is a Drosophila genome bioinformatics survey, not a study of human POFUT1 enzymatic activity. It is a weak/inappropriate basis for a TAS human peptide-O-fucosyltransferase-activity annotation; the same MF term is far better supported by human IDA (PMID:11524432, PMID:9023546, PMID:15653671).
human	PPCDC	PMID:26514574	MISCITED	GOA	LOW	Complex stability and dynamic subunit interchange modulates the disparate activities of the yeast moonlighting proteins Hal3 and Vhs3.	PubMed-verified, but this is a yeast (S. cerevisiae) study of the heterotrimeric Hal3/Vhs3/Cab3 PPCDC, not a direct assay of human PPCDC self-interaction. It informs the family-level oligomerization concept only; the human homotrimer (PMID:14501115) is the appropriate support for GO:0042802.
human	PRODH	PMID:21998747	MISCITED	GOA	LOW	Structural and biochemical studies of human 4-hydroxy-2-oxoglutarate aldolase: implications for hydroxyproline metabolism in primary hyperoxaluria.	Full-text paper on human HOGA (4-hydroxy-2-oxoglutarate aldolase). It describes the 4-hydroxyproline degradation pathway as beginning with hydroxyproline oxidase (HPOX) — the distinct paralog PRODH2/HYPDH — and does not implicate PRODH. The GO:0019470 (trans-4-hydroxy-L-proline catabolic process) annotation to PRODH from this paper is a paralog mis-attribution; marked over-annotated.
human	PSAP	PMID:23555801	MISCITED	GOA	NONE	BANK1 and BLK act through phospholipase C gamma 2 in B-cell signaling.	Cited as support for a PSAP scaffold protein binding (GO:0097110) annotation, but the paper is about BANK1/BLK/PLCg2 in B-cell signalling and does not mention prosaposin, PSAP or saposins anywhere in the cached full text. The annotation cannot be verified from this reference and is likely a citation/interactor mismatch; the associated annotation is marked over-annotated.
human	PSPH	GO_REF:0000107	MISCITED	GOA	LOW	Automatic transfer of experimentally verified manual GO annotation data to orthologs using Ensembl Compara	Basis for the three rat-ortholog IEA response-phenotype annotations (response to mechanical stimulus / nutrient levels / testosterone). The transferred terms are regulatory-context phenotypes of the rat ortholog, not molecular functions of human PSPH; flagged as over-annotations.
human	PTTG1	PMID:15929994	MISCITED	GOA	MEDIUM	Human full-length Securin is a natively unfolded protein.	PubMed identity and abstract were verified. The paper directly establishes intrinsic disorder but its accessible experimental summary does not establish molecular-function activator activity; direct activation support comes from PMID:11371342 and PMID:23798554.
human	RABGGTB	PMID:8380507	MISCITED	GOA	LOW	Retinal degeneration in choroideremia: deficiency of rab geranylgeranyl transferase.	"This paper is about component A (REP1/CHM), the choroideremia disease gene, and explicitly finds that component B (which contains RABGGTB) is NOT deficient. It is therefore the wrong reference to attribute ""visual perception"" and ""protein modification process"" to RABGGTB; the visual phenotype maps to CHM, not to this catalytic subunit."
human	RCE1	GO_REF:0000002	MISCITED	GOA	MEDIUM	Gene Ontology annotation through association of InterPro records with GO terms	InterPro2GO (IPR039731) pipeline reference. The CAAX-box protein processing mapping it produces is correct, but the metalloendopeptidase activity mapping from the same reference is the wrong catalytic class for this glutamate-type protease.
human	RCE1	GO_REF:0000033	MISCITED	GOA	HIGH	Annotation inferences using phylogenetic trees	PAN-GO phylogenetic (IBA) reference. The ER-membrane and CAAX-box protein processing inferences are correct, but the metalloendopeptidase-activity inference propagated in the same tree assigns the wrong catalytic class.
human	RPL36A	PMID:26684695	MISCITED	GOA	NONE	Expression of Muscle-Specific Ribosomal Protein L3-Like Impairs Myotube Growth.	PubMed identity and full text were verified. The experiments perturb RPL3L in mouse myoblasts and never assay RPL36A; the paper does not support assigning the RPL3L fusion phenotype to RPL36A.
human	RPL36A	PMID:34081545	MISCITED	GOA	NONE	Knockdown of Muscle-Specific Ribosomal Protein L3-Like Enhances Muscle Function in Healthy and Dystrophic Mice.	PubMed identity and abstract were verified. This mouse study knocks down Rpl3l and does not assay RPL36A, so it cannot support an RPL36A striated-muscle-contraction annotation.
human	SECISBP2	PMID:19467292	MISCITED	GOA	MEDIUM	SECIS-binding protein 2, a key player in selenoprotein synthesis, is an intrinsically disordered protein.	Abstract-only; DisProt source (DP00420). Characterizes SBP2 as an intrinsically disordered protein with a folded RNA-binding domain. Does NOT support the GO:0003677 DNA binding annotation it is cited for; SBP2's nucleic-acid-binding activity is RNA (SECIS) binding.
human	SLC25A10	PMID:21630459	MISCITED	GOA	LOW	Proteomic characterization of the human sperm nucleus.	Sperm-nucleus proteome; underlies the nucleus HDA annotation. For a mitochondrial inner-membrane transporter this is a co-purification or contaminant artifact and does not support a genuine nuclear localization.
