# UniProt allergen registry (keyword KW-0020, reviewed); release 2026_02; query: keyword:KW-0020 AND reviewed:true
accession	entry_name	species_code	gene	organism	taxon_id	who_iuis_name	allergen_molecule	allergome_id
A4GE45	PROBS_OLEEU	OLEEU		Olea europaea (Common olive)	4146	Ole e 2	Ole e 2	490
A4KA49	PROCI_OLEEU	OLEEU		Olea europaea (Common olive)	4146	Ole e 2	Ole e 2	490
P0DKD2	PROFH_OLEEU	OLEEU		Olea europaea (Common olive)	4146	Ole e 2	Ole e 2	
P0DKD3	PROFI_OLEEU	OLEEU		Olea europaea (Common olive)	4146	Ole e 2	Ole e 2	
P0DKD4	PROFJ_OLEEU	OLEEU		Olea europaea (Common olive)	4146	Ole e 2	Ole e 2	
P0DKD9	PROFO_OLEEU	OLEEU		Olea europaea (Common olive)	4146	Ole e 2	Ole e 2	
P0DKE4	PROFW_OLEEU	OLEEU		Olea europaea (Common olive)	4146	Ole e 2	Ole e 2	
P0DKE9	PROAE_OLEEU	OLEEU		Olea europaea (Common olive)	4146	Ole e 2	Ole e 2	
P0DKF2	PROAH_OLEEU	OLEEU		Olea europaea (Common olive)	4146	Ole e 2	Ole e 2	
A4GCR7	PROFP_OLEEU	OLEEU		Olea europaea (Common olive)	4146	Ole e 2	Ole e 2	490
A4GD58	PROAJ_OLEEU	OLEEU		Olea europaea (Common olive)	4146	Ole e 2	Ole e 2	490
A4GDR4	PROAU_OLEEU	OLEEU		Olea europaea (Common olive)	4146	Ole e 2	Ole e 2	490
A4GDS0	PROAZ_OLEEU	OLEEU		Olea europaea (Common olive)	4146	Ole e 2	Ole e 2	490
A4GDT0	PROBD_OLEEU	OLEEU		Olea europaea (Common olive)	4146	Ole e 2	Ole e 2	490
A4GDT9	PROBI_OLEEU	OLEEU		Olea europaea (Common olive)	4146	Ole e 2	Ole e 2	490
A4GDU3	PROBL_OLEEU	OLEEU		Olea europaea (Common olive)	4146	Ole e 2	Ole e 2	490
A4GE42	PROBQ_OLEEU	OLEEU		Olea europaea (Common olive)	4146	Ole e 2	Ole e 2	490
A4GE49	PROBV_OLEEU	OLEEU		Olea europaea (Common olive)	4146	Ole e 2	Ole e 2	490
A4GFB7	PROCA_OLEEU	OLEEU		Olea europaea (Common olive)	4146	Ole e 2	Ole e 2	490
A4GFB9	PROCD_OLEEU	OLEEU		Olea europaea (Common olive)	4146	Ole e 2	Ole e 2	490
A4GFC0	PROCE_OLEEU	OLEEU		Olea europaea (Common olive)	4146	Ole e 2	Ole e 2	490
A4GFC4	PROCH_OLEEU	OLEEU		Olea europaea (Common olive)	4146	Ole e 2	Ole e 2	490
A4KA53	PROCM_OLEEU	OLEEU		Olea europaea (Common olive)	4146	Ole e 2	Ole e 2	490
P0DKD5	PROFK_OLEEU	OLEEU		Olea europaea (Common olive)	4146	Ole e 2	Ole e 2	
P0DKD7	PROFM_OLEEU	OLEEU		Olea europaea (Common olive)	4146	Ole e 2	Ole e 2	
P0DKE8	PROAD_OLEEU	OLEEU		Olea europaea (Common olive)	4146	Ole e 2	Ole e 2	
P0DKF1	PROAG_OLEEU	OLEEU		Olea europaea (Common olive)	4146	Ole e 2	Ole e 2	
P0DKF4	PROAM_OLEEU	OLEEU		Olea europaea (Common olive)	4146	Ole e 2	Ole e 2	
P0DKF6	PROAO_OLEEU	OLEEU		Olea europaea (Common olive)	4146	Ole e 2	Ole e 2	
P0DKG1	PROCC_OLEEU	OLEEU		Olea europaea (Common olive)	4146	Ole e 2	Ole e 2	
A4GCR8	PROFQ_OLEEU	OLEEU		Olea europaea (Common olive)	4146	Ole e 2	Ole e 2	490
A4GD55	PROFZ_OLEEU	OLEEU		Olea europaea (Common olive)	4146	Ole e 2	Ole e 2	490
A4GD56	PROAA_OLEEU	OLEEU		Olea europaea (Common olive)	4146	Ole e 2	Ole e 2	490
A4GDT5	PROBH_OLEEU	OLEEU		Olea europaea (Common olive)	4146	Ole e 2	Ole e 2	490
A4GE47	PROBT_OLEEU	OLEEU		Olea europaea (Common olive)	4146	Ole e 2	Ole e 2	490
A4GE48	PROBU_OLEEU	OLEEU		Olea europaea (Common olive)	4146	Ole e 2	Ole e 2	490
A4GE55	PROBZ_OLEEU	OLEEU		Olea europaea (Common olive)	4146	Ole e 2	Ole e 2	490
A4KA52	PROCL_OLEEU	OLEEU		Olea europaea (Common olive)	4146	Ole e 2	Ole e 2	490
P0DKD0	PROFD_OLEEU	OLEEU		Olea europaea (Common olive)	4146	Ole e 2	Ole e 2	
P0DKE1	PROFS_OLEEU	OLEEU		Olea europaea (Common olive)	4146	Ole e 2	Ole e 2	
P0DKE5	PROFX_OLEEU	OLEEU		Olea europaea (Common olive)	4146	Ole e 2	Ole e 2	
P0DKE7	PROAC_OLEEU	OLEEU		Olea europaea (Common olive)	4146	Ole e 2	Ole e 2	
P0DKF3	PROAI_OLEEU	OLEEU		Olea europaea (Common olive)	4146	Ole e 2	Ole e 2	
P0DKF7	PROAP_OLEEU	OLEEU		Olea europaea (Common olive)	4146	Ole e 2	Ole e 2	
P0DKG0	PROCB_OLEEU	OLEEU		Olea europaea (Common olive)	4146	Ole e 2	Ole e 2	
A4GCR5	PROFE_OLEEU	OLEEU		Olea europaea (Common olive)	4146	Ole e 2	Ole e 2	490
A4GDQ6	PROAK_OLEEU	OLEEU		Olea europaea (Common olive)	4146	Ole e 2	Ole e 2	490
A4GDR3	PROAT_OLEEU	OLEEU		Olea europaea (Common olive)	4146	Ole e 2	Ole e 2	490
A4GDR6	PROAV_OLEEU	OLEEU		Olea europaea (Common olive)	4146	Ole e 2	Ole e 2	490
A4GDS6	PROBA_OLEEU	OLEEU		Olea europaea (Common olive)	4146	Ole e 2	Ole e 2	490
A4GDS7	PROBB_OLEEU	OLEEU		Olea europaea (Common olive)	4146	Ole e 2	Ole e 2	490
A4GDS9	PROBC_OLEEU	OLEEU		Olea europaea (Common olive)	4146	Ole e 2	Ole e 2	490
A4GDT3	PROBF_OLEEU	OLEEU		Olea europaea (Common olive)	4146	Ole e 2	Ole e 2	490
A4GE38	PROBO_OLEEU	OLEEU		Olea europaea (Common olive)	4146	Ole e 2	Ole e 2	490
A4GE39	PROBP_OLEEU	OLEEU		Olea europaea (Common olive)	4146	Ole e 2	Ole e 2	490
A4GE44	PROBR_OLEEU	OLEEU		Olea europaea (Common olive)	4146	Ole e 2	Ole e 2	490
A4GE50	PROBW_OLEEU	OLEEU		Olea europaea (Common olive)	4146	Ole e 2	Ole e 2	490
A4GFC2	PROCF_OLEEU	OLEEU		Olea europaea (Common olive)	4146	Ole e 2	Ole e 2	490
A4GFC3	PROCG_OLEEU	OLEEU		Olea europaea (Common olive)	4146	Ole e 2	Ole e 2	490
A4KA51	PROCK_OLEEU	OLEEU		Olea europaea (Common olive)	4146	Ole e 2	Ole e 2	490
A4KA54	PROCN_OLEEU	OLEEU		Olea europaea (Common olive)	4146	Ole e 2	Ole e 2	490
P0DKD1	PROFG_OLEEU	OLEEU		Olea europaea (Common olive)	4146	Ole e 2	Ole e 2	
P0DKD8	PROFN_OLEEU	OLEEU		Olea europaea (Common olive)	4146	Ole e 2	Ole e 2	
P0DKE6	PROAB_OLEEU	OLEEU		Olea europaea (Common olive)	4146	Ole e 2	Ole e 2	
P0DKF8	PROAQ_OLEEU	OLEEU		Olea europaea (Common olive)	4146	Ole e 2	Ole e 2	
P0DKF9	PROAR_OLEEU	OLEEU		Olea europaea (Common olive)	4146	Ole e 2	Ole e 2	
A4GCR6	PROFF_OLEEU	OLEEU		Olea europaea (Common olive)	4146	Ole e 2	Ole e 2	490
A4GD50	PROFT_OLEEU	OLEEU		Olea europaea (Common olive)	4146	Ole e 2	Ole e 2	490
A4GD54	PROFY_OLEEU	OLEEU		Olea europaea (Common olive)	4146	Ole e 2	Ole e 2	490
A4GDR7	PROAW_OLEEU	OLEEU		Olea europaea (Common olive)	4146	Ole e 2	Ole e 2	490
A4GDR8	PROAX_OLEEU	OLEEU		Olea europaea (Common olive)	4146	Ole e 2	Ole e 2	490
A4GDR9	PROAY_OLEEU	OLEEU		Olea europaea (Common olive)	4146	Ole e 2	Ole e 2	490
A4GDT1	PROBE_OLEEU	OLEEU		Olea europaea (Common olive)	4146	Ole e 2	Ole e 2	490
A4GDU0	PROBJ_OLEEU	OLEEU		Olea europaea (Common olive)	4146	Ole e 2	Ole e 2	490
A4GDU2	PROBK_OLEEU	OLEEU		Olea europaea (Common olive)	4146	Ole e 2	Ole e 2	490
A4GDU5	PROBM_OLEEU	OLEEU		Olea europaea (Common olive)	4146	Ole e 2	Ole e 2	490
A4GDU6	PROBN_OLEEU	OLEEU		Olea europaea (Common olive)	4146	Ole e 2	Ole e 2	490
A4GE53	PROBX_OLEEU	OLEEU		Olea europaea (Common olive)	4146	Ole e 2	Ole e 2	490
A4GE54	PROBY_OLEEU	OLEEU		Olea europaea (Common olive)	4146	Ole e 2	Ole e 2	490
A4KA50	PROCJ_OLEEU	OLEEU		Olea europaea (Common olive)	4146	Ole e 2	Ole e 2	490
P0DKD6	PROFL_OLEEU	OLEEU		Olea europaea (Common olive)	4146	Ole e 2	Ole e 2	
P0DKE0	PROFR_OLEEU	OLEEU		Olea europaea (Common olive)	4146	Ole e 2	Ole e 2	
P0DKE2	PROFU_OLEEU	OLEEU		Olea europaea (Common olive)	4146	Ole e 2	Ole e 2	
P0DKE3	PROFV_OLEEU	OLEEU		Olea europaea (Common olive)	4146	Ole e 2	Ole e 2	
P0DKF0	PROAF_OLEEU	OLEEU		Olea europaea (Common olive)	4146	Ole e 2	Ole e 2	
P0DKF5	PROAN_OLEEU	OLEEU		Olea europaea (Common olive)	4146	Ole e 2	Ole e 2	
O81092	ALL3_OLEEU	OLEEU	OLE3	Olea europaea (Common olive)	4146	Ole e 3	Ole e 3	3384
P80741	ALL4_OLEEU	OLEEU		Olea europaea (Common olive)	4146	Ole e 4	Ole e 4	3385
Q8L5E0	SODC2_OLEEU	OLEEU	OLE5	Olea europaea (Common olive)	4146	Ole e 5	Ole e 5	493
P80740	SODC1_OLEEU	OLEEU		Olea europaea (Common olive)	4146	Ole e 5	Ole e 5	3386
O24172	ALL6_OLEEU	OLEEU	OLE6	Olea europaea (Common olive)	4146	Ole e 6	Ole e 6	3387
P81430	ALL7_OLEEU	OLEEU		Olea europaea (Common olive)	4146	Ole e 7	Ole e 7	3388
Q9M7R0	ALL8_OLEEU	OLEEU		Olea europaea (Common olive)	4146	Ole e 8	Ole e 8	3389
Q94G86	ALL9_OLEEU	OLEEU	OLE9	Olea europaea (Common olive)	4146	Ole e 9	Ole e 9	3391
P86431	PRVB1_ONCMY	ONCMY		Oncorhynchus mykiss (Rainbow trout) (Salmo gairdneri)	8022			8150
P86432	PRVB2_ONCMY	ONCMY		Oncorhynchus mykiss (Rainbow trout) (Salmo gairdneri)	8022			8150
A2Y8X2	SSG1_ORYSI	ORYSI	WAXY	Oryza sativa subsp. indica (Rice)	39946	Ory s GBSS_I	Ory s GBSS_I	11008
B8AL97	CUCIN_ORYSI	ORYSI		Oryza sativa subsp. indica (Rice)	39946	Ory s NRA	Ory s NRA	
Q40638	EXPB1_ORYSJ	ORYSJ	EXPB1a; EXPB1b	Oryza sativa subsp. japonica (Rice)	39947	Ory s 1	Ory s 1	3394
Q7X8H9	AI172_ORYSJ	ORYSJ		Oryza sativa subsp. japonica (Rice)	39947	Ory s 17kD	Ory s 17kD	9529
Q7X7E6	AI171_ORYSJ	ORYSJ		Oryza sativa subsp. japonica (Rice)	39947	Ory s 17kD	Ory s 17kD	9529
P29835	GL19_ORYSJ	ORYSJ		Oryza sativa subsp. japonica (Rice)	39947	Ory s 19kD	Ory s 19kD	9528
P83466	MPAO2_ORYSJ	ORYSJ		Oryza sativa subsp. japonica (Rice)	39947	Ory s 2-A	Ory s 2	
Q0DEV5	SSG1_ORYSJ	ORYSJ	WAXY	Oryza sativa subsp. japonica (Rice)	39947	Ory s GBSS_I	Ory s GBSS_I	11008
Q75GX9	GLB63_ORYSJ	ORYSJ		Oryza sativa subsp. japonica (Rice)	39947	Ory s GLP63	Ory s GLP63	9526
Q948T6	LGUL_ORYSJ	ORYSJ	GLYI-11	Oryza sativa subsp. japonica (Rice)	39947	Ory s Glyoxalase I	Ory s Glyoxalase I	1048
Q852L2	CUCIN_ORYSJ	ORYSJ		Oryza sativa subsp. japonica (Rice)	39947	Ory s NRA	Ory s NRA	9525
Q01881	RA05_ORYSJ	ORYSJ	RA5	Oryza sativa subsp. japonica (Rice)	39947	Ory s aA_TI	Ory s aA_TI	1049
Q01882	RAG2_ORYSJ	ORYSJ	RAG2	Oryza sativa subsp. japonica (Rice)	39947	Ory s aA_TI	Ory s aA_TI	1049
Q01883	RAG1_ORYSJ	ORYSJ	RAG1	Oryza sativa subsp. japonica (Rice)	39947	Ory s aA_TI	Ory s aA_TI	1049
Q8H4L8	RA16_ORYSJ	ORYSJ	RA16	Oryza sativa subsp. japonica (Rice)	39947	Ory s aA_TI	Ory s aA_TI	1049
P86704	TPM_PANBO	PANBO	TM1	Pandalus borealis (Northern red shrimp)	6703	Pan b 1	Pan b 1	1277
O61379	TPM_PANST	PANST		Panulirus stimpsoni (Chinese spiny lobster)	71578	Pan s 1	Pan s 1	3396
P43217	NLT11_PARJU	PARJU	PMAI	Parietaria judaica (Pellitory-of-the-wall) (Parietaria diffusa)	33127	Par j 1.0101	Par j 1	503
O04404	NLT12_PARJU	PARJU		Parietaria judaica (Pellitory-of-the-wall) (Parietaria diffusa)	33127	Par j 1.0102	Par j 1	503
Q40905	NLT13_PARJU	PARJU		Parietaria judaica (Pellitory-of-the-wall) (Parietaria diffusa)	33127	Par j 1.0201	Par j 1	503
P55958	NLT21_PARJU	PARJU		Parietaria judaica (Pellitory-of-the-wall) (Parietaria diffusa)	33127	Par j 2.0101	Par j 2	507
O04403	NLT22_PARJU	PARJU		Parietaria judaica (Pellitory-of-the-wall) (Parietaria diffusa)	33127	Par j 2.0102	Par j 2	507
Q9XG85	PROF1_PARJU	PARJU	PRO1	Parietaria judaica (Pellitory-of-the-wall) (Parietaria diffusa)	33127	Par j 3.0101	Par j 3	510
Q9T0M8	PROF2_PARJU	PARJU	PRO2	Parietaria judaica (Pellitory-of-the-wall) (Parietaria diffusa)	33127	Par j 3.0102	Par j 3	510
P85293	EXPB_PASNO	PASNO		Paspalum notatum (Bahia grass)	147272	Pas n 1	Pas n 1	874
B8PYF3	EXPB1_PASNO	PASNO		Paspalum notatum (Bahia grass)	147272	Pas n 1.0101	Pas n 1	4028
Q3Y8M6	TPM_PENAT	PENAT		Penaeus aztecus (Brown shrimp) (Farfantepenaeus aztecus)	6690	Pen a 1.0102	Pen a 1	3929
P86703	MYL_PENMO	PENMO		Penaeus monodon (Giant tiger prawn)	6687			
A1KYZ2	TPM_PENMO	PENMO	TM1	Penaeus monodon (Giant tiger prawn)	6687	Pen m 1.0101	Pen m 1	3410
C7E3T4	KARG_PENMO	PENMO	AK	Penaeus monodon (Giant tiger prawn)	6687	Pen m 2	Pen m 2	3411
B0FRF9	KARG_PENVA	PENVA		Penaeus vannamei (Whiteleg shrimp) (Litopenaeus vannamei)	6689	Lit v 2	Lit v 2	3544
Q004B5	KARG0_PENVA	PENVA		Penaeus vannamei (Whiteleg shrimp) (Litopenaeus vannamei)	6689	Lit v 2.0101	Lit v 2	3544
B7SNI3	MLR_PENVA	PENVA		Penaeus vannamei (Whiteleg shrimp) (Litopenaeus vannamei)	6689	Lit v 3.0101	Lit v 3	4052
C7A639	SCPA_PENVA	PENVA		Penaeus vannamei (Whiteleg shrimp) (Litopenaeus vannamei)	6689	Lit v 4.0101	Lit v 4	6092
Q49KL9	RLA1_PENBR	PENBR		Penicillium brevicompactum	5074	Pen b 26.0101	Pen b 26	2486
Q9Y749	PENC1_PENCI	PENCI		Penicillium citrinum	5077	Pen c 1	Pen c 1	517
Q92260	HSP70_PENCI	PENCI	HSP70	Penicillium citrinum	5077	Pen c 19	Pen c 19	3402
Q9Y755	PENC2_PENCI	PENCI		Penicillium citrinum	5077	Pen c 2	Pen c 2	521
Q96X46	ENO_PENCI	PENCI	enoA	Penicillium citrinum	5077	Pen c 22	Pen c 22	3403
Q69BZ7	EF1B_PENCI	PENCI		Penicillium citrinum	5077	Pen c 24	Pen c 24	1311
Q9Y8B8	PRX5_PENCI	PENCI		Penicillium citrinum	5077	Pen c 3	Pen c 3	3405
H2E5X2	RLA1_PENCR	PENCR		Penicillium crustosum (Blue mold fungus)	36656	Pen cr 26.0101	Pen cr 26	10033
P85444	PPIA_PENGL	PENGL		Penicillium glabrum (Penicillium frequentans)	69773			
P85445	ATPD_PENGL	PENGL	atp16	Penicillium glabrum (Penicillium frequentans)	69773			
P85446	ATPB_PENGL	PENGL	atp2	Penicillium glabrum (Penicillium frequentans)	69773			
P9WEW3	PCH13_PENRB	PENRB		Penicillium rubens	1108849	Pen ch 13	Pen ch 13	
Q9URR2	PEN13_PENRB	PENRB		Penicillium rubens	1108849	Pen ch 13.0101	Pen ch 13	3406
P9WEW5	PCH18_PENRB	PENRB		Penicillium rubens	1108849	Pen ch 18	Pen ch 18	
Q9P8G3	PEN18_PENRB	PENRB		Penicillium rubens	1108849	Pen ch 18.0101	Pen ch 18	3407
Q25641	CRPI_PERAM	PERAM		Periplaneta americana (American cockroach) (Blatta americana)	6978	Per a 3	Per a 3	537
Q1M0Y5	PERA4_PERAM	PERAM		Periplaneta americana (American cockroach) (Blatta americana)	6978	Per a 4	Per a 4	3041
P0DSM6	TPM01_PERAM	PERAM		Periplaneta americana (American cockroach) (Blatta americana)	6978	Per a 7.0101	Per a 7	
P0DSM7	TPM02_PERAM	PERAM		Periplaneta americana (American cockroach) (Blatta americana)	6978	Per a 7.0102	Per a 7	
C5J049	TPM03_PERAM	PERAM		Periplaneta americana (American cockroach) (Blatta americana)	6978	Per a 7.0103	Per a 7	542
Q9GZ70	TPM_PERVI	PERVI		Perna viridis (Asian green mussel) (Mytilus viridis)	73031	Per v 1	Per v 1	823
P93680	CHIT_PERAE	PERAE	chi1	Persea americana (Avocado)	3435	Pers a 1.0101	Pers a 1	3414
C0HKF5	PET1_PETCR	PETCR		Petroselinum crispum (Parsley) (Petroselinum hortense)	4043	Allergen Pet c 1.0201	Allergen Pet c 1	
Q41260	MPAP1_PHAAQ	PHAAQ		Phalaris aquatica (Canary grass)	28479	Pha a 1	Pha a 1	3486
P56164	MPA51_PHAAQ	PHAAQ		Phalaris aquatica (Canary grass)	28479	Pha a 5.1	Pha a 5	1658
P56165	MPA52_PHAAQ	PHAAQ		Phalaris aquatica (Canary grass)	28479	Pha a 5.2	Pha a 5	548
P56166	MPA53_PHAAQ	PHAAQ		Phalaris aquatica (Canary grass)	28479	Pha a 5.3	Pha a 5	548
P56167	MPA54_PHAAQ	PHAAQ		Phalaris aquatica (Canary grass)	28479	Pha a 5.4	Pha a 5	548
P43213	MPAP1_PHLPR	PHLPR	PHLPI	Phleum pratense (Common timothy)	15957	Phl p 1	Phl p 1	549
Q8H6L7	PHLB_PHLPR	PHLPR		Phleum pratense (Common timothy)	15957	Phl p 11	Phl p 11	3415
O24650	PROF2_PHLPR	PHLPR	PRO2; PRO4	Phleum pratense (Common timothy)	15957	Phl p 12	Phl p 12	3490
O24282	PROF3_PHLPR	PHLPR	PRO3	Phleum pratense (Common timothy)	15957	Phl p 12	Phl p 12	3417
P35079	PROF1_PHLPR	PHLPR	PRO1	Phleum pratense (Common timothy)	15957	Phl p 12	Phl p 12	3416
A4KA31	PROF4_PHLPR	PHLPR		Phleum pratense (Common timothy)	15957	Phl p 12	Phl p 12	553
A4KA32	PROF5_PHLPR	PHLPR		Phleum pratense (Common timothy)	15957	Phl p 12	Phl p 12	553
A4KA33	PROF6_PHLPR	PHLPR		Phleum pratense (Common timothy)	15957	Phl p 12	Phl p 12	553
A4KA34	PROF7_PHLPR	PHLPR		Phleum pratense (Common timothy)	15957	Phl p 12	Phl p 12	553
A4KA37	PROF9_PHLPR	PHLPR		Phleum pratense (Common timothy)	15957	Phl p 12	Phl p 12	553
A4KA38	PRO10_PHLPR	PHLPR		Phleum pratense (Common timothy)	15957	Phl p 12	Phl p 12	553
A4KA36	PROF8_PHLPR	PHLPR		Phleum pratense (Common timothy)	15957	Phl p 12	Phl p 12	553
P43214	MPAP2_PHLPR	PHLPR	PHLPII	Phleum pratense (Common timothy)	15957	Phl p 2	Phl p 2	3419
Q40960	MPAP5_PHLPR	PHLPR		Phleum pratense (Common timothy)	15957	Phl p 5.0101	Phl p 5	558
Q40962	MPA5A_PHLPR	PHLPR		Phleum pratense (Common timothy)	15957	Phl p 5a	Phl p 5a	558
Q40963	MPA5B_PHLPR	PHLPR		Phleum pratense (Common timothy)	15957	Phl p 5b	Phl p 5b	558
P43215	MPAP6_PHLPR	PHLPR	PHLPVI	Phleum pratense (Common timothy)	15957	Phl p 6	Phl p 6	3420
O82040	POLC7_PHLPR	PHLPR	P7	Phleum pratense (Common timothy)	15957	Phl p 7	Phl p 7	3422
S5ZYD3	OBP_PHOSU	PHOSU	OBP	Phodopus sungorus (Striped hairy-footed hamster) (Djungarian hamster)	10044	Phod s 1.0101	Phod s 1	11963
P85412	BGAL_PHODC	PHODC		Phoenix dactylifera (Date palm)	42345			
P85413	RGP1_PHODC	PHODC		Phoenix dactylifera (Date palm)	42345			
Q8L5D8	PROF_PHODC	PHODC		Phoenix dactylifera (Date palm)	42345	Pho d 2	Pho d 2	3423
P85860	VA_PHOKE	PHOKE		Phoneutria keyserlingi (Brazilian wandering spider) (Ctenus keyserlingii)	272754			
V9VGU0	VCL_PINKO	PINKO		Pinus koraiensis (Korean pine)	88728	Pin k 2.0101	Pin k 2	10723
A0A0K3AVY3	PINP1_PINPI	PINPI	PINP1	Pinus pinea (Italian stone pine)	3346	Pin p 1	Pin p 1	10430
B4X640	VCL_PISVE	PISVE		Pistacia vera (Pistachio)	55513	Pis v 3.0101	Pis v 3	3771
A0A161AT60	NLTP1_PEA	PEA		Pisum sativum (Garden pea) (Lathyrus oleraceus)	3888	Pis s 3	Pis s 3	11950
P82242	PLAL1_PLALA	PLALA		Plantago lanceolata (English plantain) (Ribwort plantain)	39414	Pla l 1	Pla l 1	1323
C0HJX6	PROF_PLALA	PLALA		Plantago lanceolata (English plantain) (Ribwort plantain)	39414	Pla l 2	Pla l 2	11840
Q8GT41	PLA1_PLAAC	PLAAC		Platanus acerifolia (London plane tree) (Platanus orientalis x Platanus occidentalis)	140101	Pla a 1.0101	Pla a 1	3425
Q6H9K0	PGLR2_PLAAC	PLAAC	plaa2	Platanus acerifolia (London plane tree) (Platanus orientalis x Platanus occidentalis)	140101	Pla a 2.0101	Pla a 2	3426
P85814	TPIS_PLAOI	PLAOI		Platanus orientalis (Oriental plane-tree)	122832	Pla o 4	Pla o 4	
A9YUH4	PLAO1_PLAOI	PLAOI		Platanus orientalis (Oriental plane-tree)	122832	Pla or 1.0101	Pla or 1	2772
Q95PM9	KARG_PLOIN	PLOIN	ARGK	Plodia interpunctella (Indianmeal moth)	58824	Plo i 1	Plo i 1	575
P22286	MPA93_POAPR	POAPR		Poa pratensis (Kentucky bluegrass) (Phalaris japonica)	4545	Poa p 9	Poa p 9	581
P22284	MPA91_POAPR	POAPR		Poa pratensis (Kentucky bluegrass) (Phalaris japonica)	4545	Poa p 9	Poa p 9	581
P22285	MPA92_POAPR	POAPR		Poa pratensis (Kentucky bluegrass) (Phalaris japonica)	4545	Poa p 9	Poa p 9	581
Q9U6W0	PA1_POLAN	POLAN		Polistes annularis (Paper wasp)	27505	Pol a 1	Pol a 1	3430
Q9U6V9	HYAL_POLAN	POLAN		Polistes annularis (Paper wasp)	27505	Pol a 2	Pol a 2	3431
Q05109	VA5_POLAN	POLAN		Polistes annularis (Paper wasp)	27505	Pol a 5	Pol a 5	3432
Q6Q251	PA12_POLDO	POLDO		Polistes dominula (European paper wasp) (Vespa dominula)	743375	Pol d 1	Pol d 1	3434
Q6Q252	PA11_POLDO	POLDO		Polistes dominula (European paper wasp) (Vespa dominula)	743375	Pol d 1	Pol d 1	3433
Q6Q249	PA14_POLDO	POLDO		Polistes dominula (European paper wasp) (Vespa dominula)	743375	Pol d 1	Pol d 1	3436
Q6Q250	PA13_POLDO	POLDO		Polistes dominula (European paper wasp) (Vespa dominula)	743375	Pol d 1	Pol d 1	3435
A0ABM1IHN5	HYAL_POLDO	POLDO		Polistes dominula (European paper wasp) (Vespa dominula)	743375	Pol d 2	Pol d 2	
Q7Z269	SP4_POLDO	POLDO		Polistes dominula (European paper wasp) (Vespa dominula)	743375	Pol d 4	Pol d 4	3437
P81656	VA5_POLDO	POLDO		Polistes dominula (European paper wasp) (Vespa dominula)	743375	Pol d 5	Pol d 5	3438
P35759	VA5_POLEX	POLEX		Polistes exclamans (Paper wasp)	27506	Pol e 5	Pol e 5	3441
P35780	VA5_POLFU	POLFU		Polistes fuscatus (Paper wasp)	30207	Pol f 5	Pol f 5	3442
P83542	PA1_POLGA	POLGA		Polistes gallicus (Paper wasp)	34730	Pol g 1	Pol g 1	1208
P83377	VA5_POLGA	POLGA		Polistes gallicus (Paper wasp)	34730	Pol g 5	Pol g 5	3444
A2VBC4	PA1_POLPI	POLPI		Polybia paulista (Neotropical social wasp) (Swarm-founding polistine wasp)	291283	Poly p 1	Poly p 1	3608
P86687	HYAL_POLPI	POLPI		Polybia paulista (Neotropical social wasp) (Swarm-founding polistine wasp)	291283	Poly p 2	Poly p 2	12007
P86686	VA5_POLPI	POLPI		Polybia paulista (Neotropical social wasp) (Swarm-founding polistine wasp)	291283	Poly p 5	Poly p 5	12001
D4P2Y4	VA52_POLPI	POLPI		Polybia paulista (Neotropical social wasp) (Swarm-founding polistine wasp)	291283	Poly p 5	Poly p 5	11910
Q7Z156	VA5_POLSR	POLSR		Polybia scutellaris rioplatensis (Camoati)	260979	Pol s 5	Pol s 5	3494
M1H607	TPM_PORPE	PORPE		Portunus pelagicus (Blue swimmer crab)	80836	Por p 1.0101	Por p 1	10220
H6VGI2	KARG_PROCL	PROCL		Procambarus clarkii (Red swamp crayfish)	6728	Pro c 2.0101	Pro c 2	11413
J7HCX7	MLC1_PROCL	PROCL	MLC1	Procambarus clarkii (Red swamp crayfish)	6728	Pro c 5.0101	Pro c 5	12147
F5A6E9	TPIS_PROCL	PROCL		Procambarus clarkii (Red swamp crayfish)	6728	Pro c 8.0101	Pro c 8	12144
O50001	PRU1_PRUAR	PRUAR		Prunus armeniaca (Apricot) (Armeniaca vulgaris)	36596	Pru ar 1	Pru ar 1	3446
P81651	NLTP1_PRUAR	PRUAR		Prunus armeniaca (Apricot) (Armeniaca vulgaris)	36596	Pur ar 3	Pur ar 3	3447
O24248	PRU1_PRUAV	PRUAV	PRUA1	Prunus avium (Cherry) (Cerasus avium)	42229	Pru av 1	Pru av 1	1316
P50694	TLP_PRUAV	PRUAV		Prunus avium (Cherry) (Cerasus avium)	42229	Pru av 2	Pru av 2	3448
Q9M5X8	NLTP_PRUAV	PRUAV		Prunus avium (Cherry) (Cerasus avium)	42229	Pru av 3	Pru av 3	3449
Q9XF39	PROF_PRUAV	PRUAV		Prunus avium (Cherry) (Cerasus avium)	42229	Pru av 4	Pru av 4	3450
P82534	NLTP1_PRUDO	PRUDO		Prunus domestica (Garden plum)	3758	Pur d 3	Pur d 3	3451
Q8GSL5	PROF_PRUDU	PRUDU		Prunus dulcis (Almond) (Amygdalus dulcis)	3755	Pru du 4	Pru du 4	1047
Q43607	PRU1_PRUDU	PRUDU		Prunus dulcis (Almond) (Amygdalus dulcis)	3755	Pru du 6	Pru du 6	1078
E3SH28	PRU01_PRUDU	PRUDU		Prunus dulcis (Almond) (Amygdalus dulcis)	3755	Pru du 6.0101	Pru du 6	1078
