AC	Gene name	PTHR 	Family name	Notes	Action annotation reviewer	GO term added 	PAINT 	Pascale/Li/Marc comments	Lost in Panther 19
A4D0S4	LAMB4	PTHR24035	multiple epidermal growth factor-like domains protein pthr24035		IGNORE - Lost in Panther19		Will be done by Marc		PTHR24035
A6BM72	MEGF11	PTHR24035	multiple epidermal growth factor-like domains protein pthr24035		IGNORE - Lost in Panther19		Will be done by Marc		PTHR24035
P11047	LAMC1	PTHR24035	multiple epidermal growth factor-like domains protein pthr24035		IGNORE - Lost in Panther19		Will be done by Marc		PTHR24035
O75095	MEGF6	PTHR24035	multiple epidermal growth factor-like domains protein pthr24035		IGNORE - Lost in Panther19		Will be done by Marc		PTHR24035
P07204	THBD	PTHR24036	skeletor-related pthr24036						#N/A
Q9H3R2	MUC13	PTHR24037	heart development protein with egf-like domains 1 pthr24037						#N/A
Q9ULI3	HEG1	PTHR24037	heart development protein with egf-like domains 1 pthr24037						#N/A
Q9NY15	STAB1	PTHR24038	stabilin pthr24038						#N/A
Q12805	EFEMP1	PTHR24039	fibrillin-related pthr24039						#N/A
P07225	PROS1	PTHR24040	laminin g-like domain-containing protein pthr24040		IGNORE - Lost in Panther19		Will be done by Marc		PTHR24040
Q9UKN1	MUC12	PTHR24041	mucin pthr24041						#N/A
Q9H195	MUC3B	PTHR24041	mucin pthr24041						#N/A
Q02505	MUC3A	PTHR24041	mucin pthr24041						#N/A
Q8IX30	SCUBE3	PTHR24046	signal peptide, cub and egf-like domain-containing pthr24046						#N/A
Q9NQ36	SCUBE2	PTHR24046	signal peptide, cub and egf-like domain-containing pthr24046						#N/A
Q8IWY4	SCUBE1	PTHR24046	signal peptide, cub and egf-like domain-containing pthr24046						#N/A
P82279	CRB1	PTHR24049	crumbs family member pthr24049						#N/A
Q5IJ48	CRB2	PTHR24049	crumbs family member pthr24049						#N/A
Q6UXI9	NPNT	PTHR24050	pa14 domain-containing protein pthr24050						#N/A
P23142	FBLN1	PTHR24050	pa14 domain-containing protein pthr24050						#N/A
Q8IUX8	EGFL6	PTHR24050	pa14 domain-containing protein pthr24050						#N/A
Q6UWL2	SUSD1	PTHR24051	sushi domain-containing protein 1 pthr24051						#N/A
Q5VY43	PEAR1	PTHR24052	delta-related pthr24052						#N/A
P80370	DLK1	PTHR24052	delta-related pthr24052						#N/A
Q7Z5H4	VN1R5	PTHR24062	vomeronasal type-1 receptor pthr24062		in Swiss-Prot 300 protein list		Will be done by Marc		#N/A
Q7Z5H5	VN1R4	PTHR24062	vomeronasal type-1 receptor pthr24062						#N/A
Q9GZP7	VN1R1	PTHR24062	vomeronasal type-1 receptor pthr24062						#N/A
Q8NFZ6	VN1R2	PTHR24062	vomeronasal type-1 receptor pthr24062						#N/A
Q9BXE9	VN1R3	PTHR24062	vomeronasal type-1 receptor pthr24062						#N/A
Q8TCC7	SLC22A8	PTHR24064	solute carrier family 22 member pthr24064						#N/A
Q63ZE4	SLC22A10	PTHR24064	solute carrier family 22 member pthr24064						#N/A
Q9NSA0	SLC22A11	PTHR24064	solute carrier family 22 member pthr24064						#N/A
O75751	SLC22A3	PTHR24064	solute carrier family 22 member pthr24064						#N/A
A6NKX4	SLC22A31	PTHR24064	solute carrier family 22 member pthr24064						#N/A
A6NK97	SLC22A20P	PTHR24064	solute carrier family 22 member pthr24064						#N/A
Q96S37	SLC22A12	PTHR24064	solute carrier family 22 member pthr24064						#N/A
Q9Y694	SLC22A7	PTHR24064	solute carrier family 22 member pthr24064						#N/A
Q9Y267	SLC22A14	PTHR24064	solute carrier family 22 member pthr24064						#N/A
Q9Y226	SLC22A13	PTHR24064	solute carrier family 22 member pthr24064						#N/A
Q8N434	SVOPL	PTHR24064	solute carrier family 22 member pthr24064						#N/A
Q8WUG5	SLC22A17	PTHR24064	solute carrier family 22 member pthr24064						#N/A
Q8IZD6	SLC22A15	PTHR24064	solute carrier family 22 member pthr24064						#N/A
Q8N4V2	SVOP	PTHR24064	solute carrier family 22 member pthr24064						#N/A
Q8N4F4	SLC22A24	PTHR24064	solute carrier family 22 member pthr24064						#N/A
A1A5C7	SLC22A23	PTHR24064	solute carrier family 22 member pthr24064						#N/A
Q8IVM8	SLC22A9	PTHR24064	solute carrier family 22 member pthr24064						#N/A
Q6T423	SLC22A25	PTHR24064	solute carrier family 22 member pthr24064						#N/A
Q5VVX9	UBE2U	PTHR24067	ubiquitin-conjugating enzyme e2 pthr24067						#N/A
P60604	UBE2G2	PTHR24067	ubiquitin-conjugating enzyme e2 pthr24067						#N/A
Q13404	UBE2V1	PTHR24068	ubiquitin-conjugating enzyme e2 pthr24068						#N/A
Q15819	UBE2V2	PTHR24068	ubiquitin-conjugating enzyme e2 pthr24068						#N/A
Q9Y2R5	MRPS17	PTHR24088	28s ribosomal protein s17, mitochondrial pthr24088						#N/A
Q8WUT9	SLC25A43	PTHR24089	solute carrier family 25 pthr24089						#N/A
Q86VD7	SLC25A42	PTHR24089	solute carrier family 25 pthr24089						#N/A
Q8IWV1	LAX1	PTHR24091	lymphocyte transmembrane adapter 1 pthr24091						#N/A
Q9P2H3	IFT80	PTHR24098	outer segment 5 pthr24098						#N/A
Q53EP0	FNDC3B	PTHR24099	e3 ubiquitin-protein ligase trim36-related pthr24099						#N/A
O15344	MID1	PTHR24099	e3 ubiquitin-protein ligase trim36-related pthr24099						#N/A
A1L4K1	FSD2	PTHR24099	e3 ubiquitin-protein ligase trim36-related pthr24099						#N/A
Q9C026	TRIM9	PTHR24099	e3 ubiquitin-protein ligase trim36-related pthr24099						#N/A
Q7Z4K8	TRIM46	PTHR24099	e3 ubiquitin-protein ligase trim36-related pthr24099						#N/A
Q9Y2H6	FNDC3A	PTHR24099	e3 ubiquitin-protein ligase trim36-related pthr24099						#N/A
Q8N3K9	CMYA5	PTHR24099	e3 ubiquitin-protein ligase trim36-related pthr24099						#N/A
Q6ZTA4	TRIM67	PTHR24099	e3 ubiquitin-protein ligase trim36-related pthr24099						#N/A
Q9BXM9	FSD1L	PTHR24099	e3 ubiquitin-protein ligase trim36-related pthr24099						#N/A
Q96EK2	PHF21B	PTHR24102	phd finger protein pthr24102						#N/A
Q7RTR2	NLRC3	PTHR24106	nacht, lrr and card domains-containing pthr24106		IGNORE - Lost in Panther19		Will be done by Marc		PTHR24106
Q86UT6	NLRX1	PTHR24106	nacht, lrr and card domains-containing pthr24106		IGNORE - Lost in Panther19		Will be done by Marc		PTHR24106
Q86WI3	NLRC5	PTHR24106	nacht, lrr and card domains-containing pthr24106		IGNORE - Lost in Panther19		Will be done by Marc		PTHR24106
Q9HC29	NOD2	PTHR24106	nacht, lrr and card domains-containing pthr24106		IGNORE - Lost in Panther19		Will be done by Marc		PTHR24106
Q9Y239	NOD1	PTHR24106	nacht, lrr and card domains-containing pthr24106		IGNORE - Lost in Panther19		Will be done by Marc		PTHR24106
Q5JU00	TCTE1	PTHR24107	ynein regulatory complex subunit 5 pthr24107						#N/A
Q5JTW2	CEP78	PTHR24110	centrosomal protein of 78 kda pthr24110						#N/A
Q5JTD7	LRRC73	PTHR24111	leucine-rich repeat-containing protein 34 pthr24111						#N/A
Q8IZ02	LRRC34	PTHR24111	leucine-rich repeat-containing protein 34 pthr24111						#N/A
Q8ND23	CARMIL3	PTHR24112	leucine-rich repeat, isoform f-related pthr24112						#N/A
O75864	PPP1R37	PTHR24112	leucine-rich repeat, isoform f-related pthr24112						#N/A
Q5VZK9	CARMIL1	PTHR24112	leucine-rich repeat, isoform f-related pthr24112						#N/A
Q6F5E8	CARMIL2	PTHR24112	leucine-rich repeat, isoform f-related pthr24112						#N/A
Q9H672	ASB7	PTHR24118	pote ankyrin domain pthr24118		IGNORE - Lost in Panther19		Will be done by Marc		PTHR24118
Q96NS5	ASB16	PTHR24118	pote ankyrin domain pthr24118		IGNORE - Lost in Panther19		Will be done by Marc		PTHR24118
O00221	NFKBIE	PTHR24118	pote ankyrin domain pthr24118		IGNORE - Lost in Panther19		Will be done by Marc		PTHR24118
Q6ZVZ8	ASB18	PTHR24118	pote ankyrin domain pthr24118		IGNORE - Lost in Panther19		Will be done by Marc		PTHR24118
A0JP26	POTEB3	PTHR24118	pote ankyrin domain pthr24118		IGNORE - Lost in Panther19		Will be done by Marc		PTHR24118
Q8N6D5	ANKRD29	PTHR24120	gh07239p pthr24120						#N/A
A6NK59	ASB14	PTHR24121	no mechanoreceptor potential c, isoform d-related pthr24121						#N/A
O75762	TRPA1	PTHR24123	ankyrin repeat-containing pthr24123		in Swiss-Prot 300 protein list		Will be done by Marc		#N/A
Q9ULJ7	ANKRD50	PTHR24123	ankyrin repeat-containing pthr24123						#N/A
O15084	ANKRD28	PTHR24123	ankyrin repeat-containing pthr24123						#N/A
Q3KP44	ANKRD55	PTHR24123	ankyrin repeat-containing pthr24123						#N/A
Q9Y574	ASB4	PTHR24123	ankyrin repeat-containing pthr24123						#N/A
Q8WXI3	ASB10	PTHR24123	ankyrin repeat-containing pthr24123						#N/A
Q8N8A2	ANKRD44	PTHR24123	ankyrin repeat-containing pthr24123						#N/A
Q8NB46	ANKRD52	PTHR24123	ankyrin repeat-containing pthr24123						#N/A
Q8NI38	NFKBID	PTHR24124	ankyrin repeat family a pthr24124						#N/A
Q9H9E1	ANKRA2	PTHR24124	ankyrin repeat family a pthr24124						#N/A
Q9BYH8	NFKBIZ	PTHR24124	ankyrin repeat family a pthr24124						#N/A
O14593	RFXANK	PTHR24124	ankyrin repeat family a pthr24124						#N/A
Q495B1	ANKDD1A	PTHR24125	ankyrin repeat and death domain-containing protein pthr24125						#N/A
A6NHY2	ANKDD1B	PTHR24125	ankyrin repeat and death domain-containing protein pthr24125						#N/A
Q9NU02	ANKEF1	PTHR24127	ankyrin repeat and ef-hand domain-containing protein 1 pthr24127						#N/A
Q9P0K7	RAI14	PTHR24129	ankycorbin pthr24129						#N/A
Q9NWX5	ASB6	PTHR24132	ankyrin repeat and socs box protein 6 pthr24132						#N/A
Q96BM1	ANKRD9	PTHR24133	ankyrin domain-containing pthr24133						#N/A
Q9H765	ASB8	PTHR24134	ankyrin repeat-containing protein ddb_g0279043 pthr24134						#N/A
Q96DX5	ASB9	PTHR24136	sowah (drosophila) homolog pthr24136						#N/A
Q8WWX0	ASB5	PTHR24136	sowah (drosophila) homolog pthr24136						#N/A
Q8WXH4	ASB11	PTHR24136	sowah (drosophila) homolog pthr24136						#N/A
Q9UPS8	ANKRD26	PTHR24147	ankyrin repeat domain 36-related pthr24147						#N/A
Q6NSI1	ANKRD26P1	PTHR24147	ankyrin repeat domain 36-related pthr24147						#N/A
Q86YR6	POTED	PTHR24147	ankyrin repeat domain 36-related pthr24147						#N/A
Q5JPF3	ANKRD36C	PTHR24147	ankyrin repeat domain 36-related pthr24147						#N/A
Q5TYW2	ANKRD20A1	PTHR24147	ankyrin repeat domain 36-related pthr24147						#N/A
Q8N2N9	ANKRD36B	PTHR24147	ankyrin repeat domain 36-related pthr24147						#N/A
Q9BXX2	ANKRD30B	PTHR24147	ankyrin repeat domain 36-related pthr24147						#N/A
Q92527	ANKRD7	PTHR24147	ankyrin repeat domain 36-related pthr24147						#N/A
Q6UB98	ANKRD12	PTHR24149	ankyrin repeat domain-containing protein 12 pthr24149						#N/A
Q6UB99	ANKRD11	PTHR24149	ankyrin repeat domain-containing protein 12 pthr24149						#N/A
Q8IV38	ANKMY2	PTHR24150	ankyrin repeat and mynd domain-containing protein 2 pthr24150						#N/A
Q92882	OSTF1	PTHR24155	osteoclast-stimulating factor 1 pthr24155						#N/A
Q69YU3	ANKRD34A	PTHR24157	ankyrin repeat, sam and basic leucine zipper domain-containing protein 1 pthr24157						#N/A
A5PLL1	ANKRD34B	PTHR24157	ankyrin repeat, sam and basic leucine zipper domain-containing protein 1 pthr24157						#N/A
P0C6C1	ANKRD34C	PTHR24157	ankyrin repeat, sam and basic leucine zipper domain-containing protein 1 pthr24157						#N/A
Q8WWH4	ASZ1	PTHR24157	ankyrin repeat, sam and basic leucine zipper domain-containing protein 1 pthr24157						#N/A
Q8N9V6	ANKRD53	PTHR24160	ankyrin repeat domain-containing protein 53 pthr24160						#N/A
Q495M9	USH1G	PTHR24161	ank_rep_region domain-containing protein-related pthr24161						#N/A
Q8N8V4	ANKS4B	PTHR24161	ank_rep_region domain-containing protein-related pthr24161						#N/A
Q8WUF5	PPP1R13L	PTHR24164	rela-associated inhibitor pthr24164						#N/A
Q9C0D5	TANC1	PTHR24166	rolling pebbles, isoform b pthr24166		IGNORE - Lost in Panther19		Will be done by Marc		PTHR24166
Q86W74	ANKRD46	PTHR24166	rolling pebbles, isoform b pthr24166		IGNORE - Lost in Panther19		Will be done by Marc		PTHR24166
Q59H18	TNNI3K	PTHR24166	rolling pebbles, isoform b pthr24166		IGNORE - Lost in Panther19		Will be done by Marc		PTHR24166
Q8WZ74	CTTNBP2	PTHR24166	rolling pebbles, isoform b pthr24166		IGNORE - Lost in Panther19		Will be done by Marc		PTHR24166
Q9HCD6	TANC2	PTHR24166	rolling pebbles, isoform b pthr24166		IGNORE - Lost in Panther19		Will be done by Marc		PTHR24166
Q63ZY3	KANK2	PTHR24168	kn motif and ankyrin repeat domain-containing pthr24168						#N/A
Q14678	KANK1	PTHR24168	kn motif and ankyrin repeat domain-containing pthr24168						#N/A
Q6NY19	KANK3	PTHR24168	kn motif and ankyrin repeat domain-containing pthr24168						#N/A
Q5T7N3	KANK4	PTHR24168	kn motif and ankyrin repeat domain-containing pthr24168						#N/A
Q6P6B7	ANKRD16	PTHR24173	ankyrin repeat containing pthr24173						#N/A
Q7Z3H0	ANKRD33	PTHR24173	ankyrin repeat containing pthr24173						#N/A
Q96Q27	ASB2	PTHR24173	ankyrin repeat containing pthr24173						#N/A
Q8WXK3	ASB13	PTHR24173	ankyrin repeat containing pthr24173						#N/A
Q9BZF9	UACA	PTHR24173	ankyrin repeat containing pthr24173						#N/A
Q8TF21	ANKRD24	PTHR24173	ankyrin repeat containing pthr24173						#N/A
Q8WXE0	CASKIN2	PTHR24174	ankyrin repeat and sterile alpha motif domain-containing protein 1 pthr24174		IGNORE - Lost in Panther19		Will be done by Marc		PTHR24174
Q8WXD9	CASKIN1	PTHR24174	ankyrin repeat and sterile alpha motif domain-containing protein 1 pthr24174		IGNORE - Lost in Panther19		Will be done by Marc		PTHR24174
Q8N7Z5	ANKRD31	PTHR24176	ankyrin repeat domain-containing protein 31-related pthr24176						#N/A
Q9Y283	INVS	PTHR24178	molting protein mlt-4 pthr24178						#N/A
Q9Y575	ASB3	PTHR24178	molting protein mlt-4 pthr24178						#N/A
Q5TZF3	ANKRD45	PTHR24180	cyclin-dependent kinase inhibitor 2c-related pthr24180		IGNORE - Lost in Panther19		Will be done by Marc		PTHR24180
Q8WVL7	ANKRD49	PTHR24180	cyclin-dependent kinase inhibitor 2c-related pthr24180		IGNORE - Lost in Panther19		Will be done by Marc		PTHR24180
Q8TC84	FANK1	PTHR24183	fibronectin type 3 and ankyrin repeat domains protein 1 pthr24183						#N/A
Q6ZW76	ANKS3	PTHR24184	si:ch211-189e2.2 pthr24184						#N/A
P58546	MTPN	PTHR24189	myotrophin pthr24189						#N/A
Q6AI12	ANKRD40	PTHR24192	ankyrin repeat domain 40 pthr24192						#N/A
A6NGH8	ANKRD61	PTHR24197	ankyrin repeat domain-containing protein 61 pthr24197						#N/A
Q8NFD2	ANKK1	PTHR24198	ankyrin repeat and protein kinase domain-containing protein pthr24198						#N/A
P57078	RIPK4	PTHR24198	ankyrin repeat and protein kinase domain-containing protein pthr24198						#N/A
Q7Z713	ANKRD37	PTHR24201	ank_rep_region domain-containing protein pthr24201						#N/A
Q7Z6K4	NRARP	PTHR24203	ankyrin repeat family protein pthr24203						#N/A
Q9Y2G4	ANKRD6	PTHR24203	ankyrin repeat family protein pthr24203						#N/A
Q9NXR5	ANKRD10	PTHR24203	ankyrin repeat family protein pthr24203						#N/A
Q93052	LPP	PTHR24207	zyx102 protein pthr24207						#N/A
Q7Z4I7	LIMS2	PTHR24210	lim domain-containing protein pthr24210						#N/A
P48059	LIMS1	PTHR24210	lim domain-containing protein pthr24210						#N/A
Q7Z3G6	PRICKLE2	PTHR24211	lim domain-containing protein pthr24211						#N/A
Q96MT3	PRICKLE1	PTHR24211	lim domain-containing protein pthr24211						#N/A
Q9UGI8	TES	PTHR24211	lim domain-containing protein pthr24211						#N/A
O43900	PRICKLE3	PTHR24211	lim domain-containing protein pthr24211						#N/A
Q15942	ZYX	PTHR24212	zyxin/trip6 pthr24212						#N/A
Q15654	TRIP6	PTHR24212	zyxin/trip6 pthr24212						#N/A
O43294	TGFB1I1	PTHR24216	paxillin-related pthr24216		IGNORE - Lost in Panther19		Will be done by Marc		PTHR24216
O60711	LPXN	PTHR24216	paxillin-related pthr24216		IGNORE - Lost in Panther19		Will be done by Marc		PTHR24216
P49023	PXN	PTHR24216	paxillin-related pthr24216		IGNORE - Lost in Panther19		Will be done by Marc		PTHR24216
O15218	GPR182	PTHR24226	g-protein coupled receptor 182 and estrogen receptor 1 pthr24226						#N/A
Q96CH1	GPR146	PTHR24226	g-protein coupled receptor 182 and estrogen receptor 1 pthr24226						#N/A
Q9UNW8	GPR132	PTHR24234	lysophosphatidic acid receptor 5/sphingosylphosphorylcholine receptor pthr24234						#N/A
Q9H1C0	LPAR5	PTHR24234	lysophosphatidic acid receptor 5/sphingosylphosphorylcholine receptor pthr24234						#N/A
Q15743	GPR68	PTHR24234	lysophosphatidic acid receptor 5/sphingosylphosphorylcholine receptor pthr24234						#N/A
P49146	NPY2R	PTHR24235	neuropeptide y receptor pthr24235		IGNORE - Lost in Panther19		Will be done by Marc		PTHR24235
B2RN74	OR11H12	PTHR24242	g-protein coupled receptor pthr24242		IGNORE - Lost in Panther19		Will be done by Marc		PTHR24242
Q9GZK7	OR11A1	PTHR24242	g-protein coupled receptor pthr24242		IGNORE - Lost in Panther19		Will be done by Marc		PTHR24242
Q8NGC1	OR11G2	PTHR24242	g-protein coupled receptor pthr24242		IGNORE - Lost in Panther19		Will be done by Marc		PTHR24242
Q8NGC9	OR11H4	PTHR24242	g-protein coupled receptor pthr24242		IGNORE - Lost in Panther19		Will be done by Marc		PTHR24242
Q8NGC8	OR11H7	PTHR24242	g-protein coupled receptor pthr24242		IGNORE - Lost in Panther19		Will be done by Marc		PTHR24242
Q8NGC7	OR11H6	PTHR24242	g-protein coupled receptor pthr24242		IGNORE - Lost in Panther19		Will be done by Marc		PTHR24242
Q8NG94	OR11H1	PTHR24242	g-protein coupled receptor pthr24242		IGNORE - Lost in Panther19		Will be done by Marc		PTHR24242
Q8NGY0	OR10X1	PTHR24242	g-protein coupled receptor pthr24242		IGNORE - Lost in Panther19		Will be done by Marc		PTHR24242
Q8NH87	OR9G1	PTHR24242	g-protein coupled receptor pthr24242		IGNORE - Lost in Panther19		Will be done by Marc		PTHR24242
Q8NGU2	OR9A4	PTHR24242	g-protein coupled receptor pthr24242		IGNORE - Lost in Panther19		Will be done by Marc		PTHR24242
Q8NGU1	OR9A1P	PTHR24242	g-protein coupled receptor pthr24242		IGNORE - Lost in Panther19		Will be done by Marc		PTHR24242
Q8NGT5	OR9A2	PTHR24242	g-protein coupled receptor pthr24242		IGNORE - Lost in Panther19		Will be done by Marc		PTHR24242
P0C7N8	OR9G9	PTHR24242	g-protein coupled receptor pthr24242		IGNORE - Lost in Panther19		Will be done by Marc		PTHR24242
Q8NH07	OR11H2	PTHR24242	g-protein coupled receptor pthr24242		IGNORE - Lost in Panther19		Will be done by Marc		PTHR24242
Q7RTZ1	OVCH2	PTHR24251	ovochymase-related pthr24251		IGNORE - Lost in Panther19		Will be done by Marc		PTHR24251
Q7RTY7	OVCH1	PTHR24251	ovochymase-related pthr24251		IGNORE - Lost in Panther19		Will be done by Marc		PTHR24251
Q5VXM1	CDCP2	PTHR24251	ovochymase-related pthr24251		IGNORE - Lost in Panther19		Will be done by Marc		PTHR24251
Q9BY79	MFRP	PTHR24251	ovochymase-related pthr24251		IGNORE - Lost in Panther19		Will be done by Marc		PTHR24251
P57727	TMPRSS3	PTHR24253	transmembrane protease serine pthr24253		in Swiss-Prot 300 protein list		Will be done by Marc		#N/A
O15393	TMPRSS2	PTHR24253	transmembrane protease serine pthr24253		in Swiss-Prot 300 protein list		Will be done by Marc		#N/A
P05156	CFI	PTHR24253	transmembrane protease serine pthr24253						#N/A
Q7Z410	TMPRSS9	PTHR24253	transmembrane protease serine pthr24253						#N/A
Q7RTY9	PRSS41	PTHR24253	transmembrane protease serine pthr24253						#N/A
Q7RTY8	TMPRSS7	PTHR24253	transmembrane protease serine pthr24253						#N/A
Q86T26	TMPRSS11B	PTHR24253	transmembrane protease serine pthr24253						#N/A
Q9H3S3	TMPRSS5	PTHR24253	transmembrane protease serine pthr24253						#N/A
Q9UL52	TMPRSS11E	PTHR24253	transmembrane protease serine pthr24253						#N/A
P05981	HPN	PTHR24253	transmembrane protease serine pthr24253						#N/A
Q6ZMR5	TMPRSS11A	PTHR24253	transmembrane protease serine pthr24253						#N/A
Q6UWB4	PRSS55	PTHR24253	transmembrane protease serine pthr24253						#N/A
Q9BQR3	PRSS27	PTHR24253	transmembrane protease serine pthr24253						#N/A
Q9GZN4	PRSS22	PTHR24253	transmembrane protease serine pthr24253						#N/A
Q9Y5Y6	ST14	PTHR24253	transmembrane protease serine pthr24253						#N/A
Q9NRS4	TMPRSS4	PTHR24253	transmembrane protease serine pthr24253						#N/A
Q8IU80	TMPRSS6	PTHR24253	transmembrane protease serine pthr24253						#N/A
P98073	TMPRSS15	PTHR24253	transmembrane protease serine pthr24253						#N/A
Q86WS5	TMPRSS12	PTHR24253	transmembrane protease serine pthr24253						#N/A
Q6ZWK6	TMPRSS11F	PTHR24253	transmembrane protease serine pthr24253						#N/A
A0A1B0GVH4	PRSS51	PTHR24253	transmembrane protease serine pthr24253						#N/A
P03952	KLKB1	PTHR24253	transmembrane protease serine pthr24253						#N/A
P03951	F11	PTHR24253	transmembrane protease serine pthr24253						#N/A
Q16651	PRSS8	PTHR24253	transmembrane protease serine pthr24253						#N/A
Q9BYE2	TMPRSS13	PTHR24253	transmembrane protease serine pthr24253						#N/A
O60235	TMPRSS11D	PTHR24253	transmembrane protease serine pthr24253						#N/A
Q6UXH9	PAMR1	PTHR24254	prothrombin pthr24254						#N/A
Q9Y5Q5	CORIN	PTHR24270	low-density lipoprotein receptor-related pthr24270						#N/A
Q86YD5	LDLRAD3	PTHR24270	low-density lipoprotein receptor-related pthr24270						#N/A
Q14114	LRP8	PTHR24270	low-density lipoprotein receptor-related pthr24270						#N/A
O75074	LRP3	PTHR24270	low-density lipoprotein receptor-related pthr24270						#N/A
Q9NPF0	CD320	PTHR24270	low-density lipoprotein receptor-related pthr24270						#N/A
Q9Y561	LRP12	PTHR24270	low-density lipoprotein receptor-related pthr24270						#N/A
O75096	LRP4	PTHR24270	low-density lipoprotein receptor-related pthr24270						#N/A
Q6P656	CFAP161	PTHR24274	cilia- and flagella-associated protein 161 pthr24274						#N/A
P08709	F7	PTHR24278	coagulation factor pthr24278						#N/A
Q6UW02	CYP20A1	PTHR24280	cytochrome p450 20a1 pthr24280						#N/A
Q6NT55	CYP4F22	PTHR24291	cytochrome p450 family 4 pthr24291						#N/A
P98187	CYP4F8	PTHR24291	cytochrome p450 family 4 pthr24291						#N/A
Q86W10	CYP4Z1	PTHR24291	cytochrome p450 family 4 pthr24291						#N/A
Q9HBI6	CYP4F11	PTHR24291	cytochrome p450 family 4 pthr24291						#N/A
P78329	CYP4F2	PTHR24291	cytochrome p450 family 4 pthr24291						#N/A
Q8N1L4	CYP4Z2P	PTHR24291	cytochrome p450 family 4 pthr24291						#N/A
Q8N118	CYP4X1	PTHR24291	cytochrome p450 family 4 pthr24291						#N/A
Q9HCS2	CYP4F12	PTHR24291	cytochrome p450 family 4 pthr24291						#N/A
Q6ZWL3	CYP4V2	PTHR24291	cytochrome p450 family 4 pthr24291						#N/A
Q08477	CYP4F3	PTHR24291	cytochrome p450 family 4 pthr24291						#N/A
P13584	CYP4B1	PTHR24291	cytochrome p450 family 4 pthr24291						#N/A
A0A1B0GTQ1	A0A1B0GTQ1	PTHR24300	cytochrome p450 508a4-related pthr24300						#N/A
P22307	SCP2	PTHR24314	non-specific lipid transfer protein-related pthr24314						#N/A
Q96NR8	RDH12	PTHR24320	retinol dehydrogenase pthr24320						#N/A
Q9NZC7	WWOX	PTHR24320	retinol dehydrogenase pthr24320						#N/A
Q9HBH5	RDH14	PTHR24320	retinol dehydrogenase pthr24320						#N/A
Q8N5I4	DHRSX	PTHR24320	retinol dehydrogenase pthr24320						#N/A
Q8TC12	RDH11	PTHR24320	retinol dehydrogenase pthr24320						#N/A
A6NMT0	DBX1	PTHR24331	dbx pthr24331						#N/A
Q6ZNG2	DBX2	PTHR24331	dbx pthr24331						#N/A
O00444	PLK4	PTHR24345	serine/threonine-protein kinase plk pthr24345						#N/A
Q9UQB9	AURKC	PTHR24350	serine/threonine-protein kinase ial-related pthr24350						#N/A
Q96GD4	AURKB	PTHR24350	serine/threonine-protein kinase ial-related pthr24350						#N/A
O14965	AURKA	PTHR24350	serine/threonine-protein kinase ial-related pthr24350						#N/A
Q13237	PRKG2	PTHR24353	cyclic nucleotide-dependent protein kinase pthr24353						#N/A
P51817	PRKX	PTHR24353	cyclic nucleotide-dependent protein kinase pthr24353						#N/A
Q13976	PRKG1	PTHR24353	cyclic nucleotide-dependent protein kinase pthr24353						#N/A
O43930	PRKY	PTHR24353	cyclic nucleotide-dependent protein kinase pthr24353						#N/A
Q13641	TPBG	PTHR24364	lp06937p pthr24364						#N/A
P0DKB5	TPBGL	PTHR24364	lp06937p pthr24364						#N/A
Q68CR7	LRRC66	PTHR24366	ig(immunoglobulin) and lrr(leucine rich repeat) domains pthr24366						#N/A
Q6UXK2	ISLR2	PTHR24366	ig(immunoglobulin) and lrr(leucine rich repeat) domains pthr24366						#N/A
O14498	ISLR	PTHR24366	ig(immunoglobulin) and lrr(leucine rich repeat) domains pthr24366						#N/A
Q8WUT4	LRRN4	PTHR24366	ig(immunoglobulin) and lrr(leucine rich repeat) domains pthr24366						#N/A
O95970	LGI1	PTHR24367	leucine-rich repeat-containing protein pthr24367						#N/A
Q8N0V4	LGI2	PTHR24367	leucine-rich repeat-containing protein pthr24367						#N/A
Q8N145	LGI3	PTHR24367	leucine-rich repeat-containing protein pthr24367						#N/A
Q8N135	LGI4	PTHR24367	leucine-rich repeat-containing protein pthr24367						#N/A
Q86SJ2	AMIGO2	PTHR24368	amphoterin-induced protein pthr24368						#N/A
Q86WK7	AMIGO3	PTHR24368	amphoterin-induced protein pthr24368						#N/A
Q86WK6	AMIGO1	PTHR24368	amphoterin-induced protein pthr24368						#N/A
A6NM62	LRRC53	PTHR24369	antigen bsp, putative-related pthr24369						#N/A
Q9HBW1	LRRC4	PTHR24369	antigen bsp, putative-related pthr24369						#N/A
Q9BY71	LRRC3	PTHR24369	antigen bsp, putative-related pthr24369						#N/A
Q86UE6	LRRTM1	PTHR24373	slit related leucine-rich repeat neuronal protein pthr24373		in Swiss-Prot 300 protein list		Will be done by Marc		#N/A
Q6UY18	LINGO4	PTHR24373	slit related leucine-rich repeat neuronal protein pthr24373						#N/A
Q6UXM1	LRIG3	PTHR24373	slit related leucine-rich repeat neuronal protein pthr24373						#N/A
Q7L985	LINGO2	PTHR24373	slit related leucine-rich repeat neuronal protein pthr24373						#N/A
Q50LG9	LRRC24	PTHR24373	slit related leucine-rich repeat neuronal protein pthr24373						#N/A
Q9H3W5	LRRN3	PTHR24373	slit related leucine-rich repeat neuronal protein pthr24373						#N/A
Q96JA1	LRIG1	PTHR24373	slit related leucine-rich repeat neuronal protein pthr24373						#N/A
