scope	accession	gene	organism	caution_pmid	n_pos	positive_mf_terms
net_new	Q5D1E8	ZC3H12A	Homo sapiens (Human)	18364357	2	GO:0003677 DNA binding(IDA); GO:0003682 chromatin binding(IDA)
net_new	Q5DTL9	Slc4a10	Mus musculus (Mouse)	10993873	2	GO:0140892 sodium,bicarbonate:chlor(IDA); GO:0140892 sodium,bicarbonate:chlor(IDA)
net_new	Q5DTL9	Slc4a10	Mus musculus (Mouse)	20566632	2	GO:0008510 sodium:bicarbonate sympo(IDA); GO:0140892 sodium,bicarbonate:chlor(IDA)
net_new	Q5H9N3	nfi-1	Caenorhabditis elegans	16242019	1	GO:0043565 sequence-specific DNA bi(IDA)
net_new	Q5HZ00	SPS3	Arabidopsis thaliana (Mouse-	11069698	1	GO:0004161 dimethylallyltranstransf(IDA)
net_new	Q5JTZ9	AARS2	Homo sapiens (Human)	39322678	1	GO:0141207 peptide lactyltransferas(IDA)
net_new	Q5LIC7	lacZ_4	Bacteroides fragilis (strain	26364932	1	GO:0004566 beta-glucuronidase activ(EXP)
net_new	Q5QE80	Aox3	Rattus norvegicus (Rat)	17353002	1	GO:0004031 aldehyde oxidase activit(IDA)
net_new	Q5TA31	RNF187	Homo sapiens (Human)	20852630	2	GO:0004842 ubiquitin-protein transf(IDA); GO:0005515 protein binding(IPI)
net_new	Q5TB80	CEP162	Homo sapiens (Human)	23644468	2	GO:0005515 protein binding(IPI); GO:0005515 protein binding(IPI)
net_new	Q5TDH0	DDI2	Homo sapiens (Human)	27461074	2	GO:0042802 identical protein bindin(IDA); GO:0043130 ubiquitin binding(IDA)
net_new	Q5U5Z8	AGBL2	Homo sapiens (Human)	21303978	3	GO:0005515 protein binding(IPI); GO:0005515 protein binding(IPI); GO:0005515 protein binding(IPI)
net_new	Q5VU43	PDE4DIP	Homo sapiens (Human)	27666745	2	GO:0005515 protein binding(IPI); GO:0060090 molecular adaptor activi(IDA)
net_new	Q5VWC8	HACD4	Homo sapiens (Human)	18554506	2	GO:0019899 enzyme binding(IDA); GO:0102158 very-long-chain (3R)-3-h(IDA)
net_new	Q5VXU9	SHOC1	Homo sapiens (Human)	29742103	2	GO:0003697 single-stranded DNA bind(IDA); GO:0016887 ATP hydrolysis activity(IDA)
net_new	Q5VZV1	METTL21C	Homo sapiens (Human)	32611769	1	GO:0016279 protein-lysine N-methylt(IDA)
net_new	Q5XJV7	Setd5	Mus musculus (Mouse)	31515109	2	GO:0046975 histone H3K36 methyltran(IMP); GO:0140955 histone H3K36 trimethylt(EXP)
net_new	Q60176	mdh	Methanocaldococcus jannaschi	10850983	3	GO:0030060 L-malate dehydrogenase ((EXP); GO:0046554 L-malate dehydrogenase ((EXP); GO:0102443 L-2-hydroxycarboxylate d(EXP)
net_new	Q60GF7	Pigx	Rattus norvegicus (Rat)	15635094	1	GO:0005515 protein binding(IPI)
net_new	Q61097	Ksr1	Mus musculus (Mouse)	21441104	4	GO:0004672 protein kinase activity(IMP); GO:0005524 ATP binding(IMP); GO:0019901 protein kinase binding(IPI); GO:0106310 protein serine kinase ac(EXP)
net_new	Q61115	Ptch1	Mus musculus (Mouse)	30415841	2	GO:0008158 hedgehog receptor activi(IDA); GO:0140303 intramembrane lipid carr(IDA)
net_new	Q63089	Slc22a1	Rattus norvegicus (Rat)	9808712	1	GO:0015651 quaternary ammonium grou(IDA)
net_new	Q63486	Rraga	Rattus norvegicus (Rat)	7499430	1	GO:0005525 GTP binding(IDA)
net_new	Q63487	RragB	Rattus norvegicus (Rat)	7499430	1	GO:0005525 GTP binding(IDA)
net_new	Q63HN8	RNF213	Homo sapiens (Human)	24658080	1	GO:0016887 ATP hydrolysis activity(IDA)
net_new	Q63HN8	RNF213	Homo sapiens (Human)	26126547	1	GO:0016887 ATP hydrolysis activity(IDA)
net_new	Q64221	Nhlh2	Mus musculus (Mouse)	15470499	2	GO:0000978 RNA polymerase II cis-re(IDA); GO:0001228 DNA-binding transcriptio(IDA)
net_new	Q64282	Ifit1	Mus musculus (Mouse)	27240734	1	GO:0140610 RNA sequestering activit(IDA)
net_new	Q64563	Adh4	Rattus norvegicus (Rat)	17279314	1	GO:0004745 all-trans-retinol dehydr(EXP)
net_new	Q64663	P2rx7	Rattus norvegicus (Rat)	17036048	1	GO:0005515 protein binding(IPI)
net_new	Q64663	P2rx7	Rattus norvegicus (Rat)	8614837	2	GO:0001614 purinergic nucleotide re(IDA); GO:0004931 extracellularly ATP-gate(IDA)
net_new	Q66GT5	Ptpmt1	Mus musculus (Mouse)	15247229	3	GO:0102091 phosphatidylinositol-5-p(IDA); GO:0102091 phosphatidylinositol-5-p(IDA); GO:0102091 phosphatidylinositol-5-p(IDA)
net_new	Q69ZK6	Jmjd1c	Mus musculus (Mouse)	35995859	1	GO:0140457 protein demethylase acti(IMP)
net_new	Q6A4L0	Slc22a13	Mus musculus (Mouse)	35144162	2	GO:0090416 nicotinate transmembrane(IDA); GO:0090416 nicotinate transmembrane(IDA)
net_new	Q6AWJ9	otk	Drosophila melanogaster (Fru	1371458	2	GO:0004714 transmembrane receptor p(IDA); GO:0050839 cell adhesion molecule b(IDA)
net_new	Q6DKK2	TTC19	Homo sapiens (Human)	20208530	2	GO:0005515 protein binding(IPI); GO:0005515 protein binding(IPI)
net_new	Q6GYP7	Ralgapa1	Mus musculus (Mouse)	12200424	5	GO:0005096 GTPase activator activit(ISA); GO:0005096 GTPase activator activit(ISA); GO:0005096 GTPase activator activit(ISA); GO:0005096 GTPase activator activit(ISM); GO:0005515 protein binding(IPI)
net_new	Q6IA86	ELP2	Homo sapiens (Human)	11714725	1	GO:0000993 RNA polymerase II comple(IDA)
net_new	Q6NT55	CYP4F22	Homo sapiens (Human)	26056268	1	GO:0004497 monooxygenase activity(IDA)
net_new	Q6NXT4	SLC30A6	Homo sapiens (Human)	19759014	1	GO:0005515 protein binding(IPI)
net_new	Q6NZ36	FAAP20	Homo sapiens (Human)	22396592	1	GO:0031593 polyubiquitin modificati(IDA)
net_new	Q6NZ36	FAAP20	Homo sapiens (Human)	22705371	2	GO:0005515 protein binding(IPI); GO:0070530 K63-linked polyubiquitin(IDA)
net_new	Q6P988	NOTUM	Homo sapiens (Human)	25731175	1	GO:1990699 palmitoleyl hydrolase ac(IDA)
net_new	Q6P9J9	Ano6	Mus musculus (Mouse)	30785399	3	GO:0005229 intracellularly calcium-(IDA); GO:0017128 phospholipid scramblase (IDA); GO:0042803 protein homodimerization(IDA)
net_new	Q6PHQ8	Naa35	Mus musculus (Mouse)	16484612	1	GO:0005515 protein binding(IPI)
net_new	Q6PKG0	LARP1	Homo sapiens (Human)	20430826	2	GO:0005515 protein binding(IPI); GO:0008190 eukaryotic initiation fa(IPI)
net_new	Q6PKG0	LARP1	Homo sapiens (Human)	23711370	1	GO:0003730 mRNA 3'-UTR binding(IDA)
net_new	Q6PKG0	LARP1	Homo sapiens (Human)	24532714	5	GO:0000339 RNA cap binding(IDA); GO:0005515 protein binding(IPI); GO:0008494 translation activator ac(IMP); GO:0031369 translation initiation f(IDA); GO:0048027 mRNA 5'-UTR binding(IDA)
net_new	Q6PKG0	LARP1	Homo sapiens (Human)	25940091	2	GO:0005515 protein binding(IPI); GO:0048027 mRNA 5'-UTR binding(IMP)
net_new	Q6PXP3	SLC2A7	Homo sapiens (Human)	29548810	2	GO:0005353 fructose transmembrane t(IDA); GO:0055056 D-glucose transmembrane (IDA)
net_new	Q6RFH8	DUX4L9	Homo sapiens (Human)	36882853	1	GO:0005515 protein binding(IPI)
net_new	Q6U7H8	Pip5kl1	Mus musculus (Mouse)	14701839	3	GO:0005515 protein binding(IPI); GO:0005515 protein binding(IPI); GO:0016308 1-phosphatidylinositol-4(IDA)
net_new	Q6U841	SLC4A10	Homo sapiens (Human)	18319254	1	GO:0008510 sodium:bicarbonate sympo(IDA)
net_new	Q6UB35	MTHFD1L	Homo sapiens (Human)	12937168	1	GO:0004329 formate-tetrahydrofolate(IDA)
net_new	Q6UW78	UQCC3	Homo sapiens (Human)	25605331	2	GO:0070300 phosphatidic acid bindin(IDA); GO:1901612 cardiolipin binding(IDA)
net_new	Q6UWP7	LCLAT1	Homo sapiens (Human)	16620771	1	GO:0003841 1-acylglycerol-3-phospha(IDA)
net_new	Q6UX46	ALKAL2	Homo sapiens (Human)	34646012	2	GO:0005125 cytokine activity(IDA); GO:0030298 receptor signaling prote(IDA)
net_new	Q6UX46	ALKAL2	Homo sapiens (Human)	34819673	2	GO:0005125 cytokine activity(IDA); GO:0030298 receptor signaling prote(IDA)
net_new	Q6UXB2	CXCL17	Homo sapiens (Human)	25411203	2	GO:0008009 chemokine activity(IDA); GO:0042056 chemoattractant activity(IDA)
net_new	Q6VAB6	KSR2	Homo sapiens (Human)	21441910	2	GO:0004674 protein serine/threonine(IDA); GO:0106310 protein serine kinase ac(EXP)
net_new	Q6XJV4	Cd200r4	Mus musculus (Mouse)	15274657	2	GO:0005515 protein binding(IPI); GO:0038023 signaling receptor activ(IDA)
net_new	Q6YNI2	Gpr6	Mus musculus (Mouse)	14592418	1	GO:0038036 sphingosine-1-phosphate (IDA)
net_new	Q6ZRS2	SRCAP	Homo sapiens (Human)	10347196	1	GO:0016887 ATP hydrolysis activity(EXP)
net_new	Q6ZRS2	SRCAP	Homo sapiens (Human)	11522779	1	GO:0003713 transcription coactivato(IDA)
net_new	Q6ZRS2	SRCAP	Homo sapiens (Human)	14500758	1	GO:0003713 transcription coactivato(IDA)
net_new	Q6ZRS2	SRCAP	Homo sapiens (Human)	16634648	1	GO:0140658 ATP-dependent chromatin (IDA)
net_new	Q6ZRS2	SRCAP	Homo sapiens (Human)	17617668	1	GO:0140658 ATP-dependent chromatin (IDA)
net_new	Q6ZT62	BARGIN	Homo sapiens (Human)	23223568	2	GO:0005096 GTPase activator activit(IMP); GO:1990450 linear polyubiquitin bin(IDA)
net_new	Q6ZVD8	PHLPP2	Homo sapiens (Human)	24892992	2	GO:0004722 protein serine/threonine(EXP); GO:0004722 protein serine/threonine(EXP)
net_new	Q6ZXA0	st8sia1	Xenopus laevis (African claw	18095347	1	GO:0003828 alpha-N-acetylneuraminat(EXP)
net_new	Q70EK8	USP53	Homo sapiens (Human)	39587316	3	GO:0004843 cysteine-type deubiquiti(EXP); GO:0061578 K63-linked deubiquitinas(IDA); GO:0061578 K63-linked deubiquitinas(IDA)
net_new	Q72KH8	nfo	Thermus thermophilus (strain	16782061	1	GO:0008833 deoxyribonuclease IV (ph(EXP)
net_new	Q72KH8	nfo	Thermus thermophilus (strain	20410075	1	GO:0008833 deoxyribonuclease IV (ph(EXP)
net_new	Q73MU2	pntC	Treponema denticola (strain 	31420548	1	GO:0047304 2-aminoethylphosphonate:(EXP)
net_new	Q746M7	ago	Thermus thermophilus (strain	24374628	1	GO:0030145 manganese ion binding(IDA)
net_new	Q749L1	omcC	Geobacter sulfurreducens (st	11563978	1	GO:0009055 electron transfer activi(IDA)
net_new	Q74FU5	sfrB	Geobacter sulfurreducens (st	11443080	1	GO:0016491 oxidoreductase activity(IDA)
net_new	Q74FU6	sfrA	Geobacter sulfurreducens (st	11443080	1	GO:0016651 oxidoreductase activity,(IDA)
net_new	Q75N34	DB3S	Dioscorea polystachya (Chine	10552514	2	GO:0004089 carbonate dehydratase ac(IDA); GO:0004867 serine-type endopeptidas(IDA)
net_new	Q78PB6	Ndel1	Rattus norvegicus (Rat)	15728732	1	GO:0070012 oligopeptidase activity(IDA)
net_new	Q7CQM5	ssrB	Salmonella typhimurium (stra	28704543	3	GO:0001217 DNA-binding transcriptio(IDA); GO:0001217 DNA-binding transcriptio(IDA); GO:0043565 sequence-specific DNA bi(IDA)
net_new	Q7CQM5	ssrB	Salmonella typhimurium (stra	30355489	1	GO:0000976 transcription cis-regula(IDA)
net_new	Q7CQM5	ssrB	Salmonella typhimurium (stra	31033442	1	GO:0044374 sequence-specific DNA bi(IDA)
net_new	Q7L592	NDUFAF7	Homo sapiens (Human)	20406883	2	GO:0008168 methyltransferase activi(NAS); GO:0019899 enzyme binding(IPI)
net_new	Q7SXS7	setd3	Danio rerio (Zebrafish) (Bra	21307598	2	GO:0003713 transcription coactivato(IDA); GO:0046975 histone H3K36 methyltran(IDA)
net_new	Q7TMB7	Plppr4	Rattus norvegicus (Rat)	12730698	2	GO:0042577 lipid phosphatase activi(IDA); GO:0052642 lysophosphatidic acid ph(IMP)
net_new	Q7TSV6	Got1l1	Mus musculus (Mouse)	25287256	1	GO:0004069 L-aspartate:2-oxoglutara(IDA)
net_new	Q7X9V3	NSI	Arabidopsis thaliana (Mouse-	12837950	2	GO:0004402 histone acetyltransferas(EXP); GO:0008080 N-acetyltransferase acti(IDA)
net_new	Q7Y1Z1	Cht7	Oryza sativa subsp. japonica	10890535	1	GO:0008843 endochitinase activity(EXP)
net_new	Q7Z5J1	HSD11B1L	Homo sapiens (Human)	19436836	1	GO:0102196 cortisol dehydrogenase ((IDA)
net_new	Q7Z5W3	BCDIN3D	Homo sapiens (Human)	23063121	3	GO:0008171 O-methyltransferase acti(EXP); GO:0008173 RNA methyltransferase ac(IDA); GO:0090486 small RNA 2'-O-ribose me(IDA)
net_new	Q7Z5W3	BCDIN3D	Homo sapiens (Human)	28119416	1	GO:0008175 tRNA methyltransferase a(IDA)
net_new	Q7Z739	YTHDF3	Homo sapiens (Human)	28106072	3	GO:0005515 protein binding(IPI); GO:0005515 protein binding(IPI); GO:1990247 N6-methyladenosine-conta(IDA)
net_new	Q7Z739	YTHDF3	Homo sapiens (Human)	28106076	2	GO:0043022 ribosome binding(IDA); GO:1990247 N6-methyladenosine-conta(IDA)
net_new	Q7Z739	YTHDF3	Homo sapiens (Human)	32492408	1	GO:1990247 N6-methyladenosine-conta(IDA)
net_new	Q7ZAG8	sqr	Acidianus ambivalens (Desulf	19438211	1	GO:0070224 sulfide:quinone oxidored(EXP)
net_new	Q80ZA5	Slc4a10	Rattus norvegicus (Rat)	20566632	2	GO:0008510 sodium:bicarbonate sympo(IDA); GO:0140892 sodium,bicarbonate:chlor(IDA)
net_new	Q867X0	parg-1	Caenorhabditis elegans	17188026	2	GO:0004649 poly(ADP-ribose) glycohy(IDA); GO:0004649 poly(ADP-ribose) glycohy(IMP)
net_new	Q86BA1	Mical	Drosophila melanogaster (Fru	22116028	3	GO:0003779 actin binding(IDA); GO:0071949 FAD binding(IDA); GO:0120501 F-actin monooxygenase ac(IDA)
net_new	Q86TU7	SETD3	Homo sapiens (Human)	30526847	1	GO:0018064 protein-L-histidine N-te(IDA)
net_new	Q86TU7	SETD3	Homo sapiens (Human)	30626964	1	GO:0018064 protein-L-histidine N-te(IDA)
net_new	Q86W50	METTL16	Homo sapiens (Human)	30197297	1	GO:0001734 mRNA m(6)A methyltransfe(IDA)
net_new	Q86W50	METTL16	Homo sapiens (Human)	30197299	2	GO:0001734 mRNA m(6)A methyltransfe(IDA); GO:0003723 RNA binding(IDA)
net_new	Q86WI3	NLRC5	Homo sapiens (Human)	20434986	4	GO:0005515 protein binding(IPI); GO:0005515 protein binding(IPI); GO:0005515 protein binding(IPI); GO:0005515 protein binding(IPI)
net_new	Q86XK2	FBXO11	Homo sapiens (Human)	16487488	1	GO:0016274 protein-arginine N-methy(IDA)
net_new	Q8BFZ4	Fbxl21	Mus musculus (Mouse)	23452855	6	GO:0005515 protein binding(IPI); GO:0005515 protein binding(IPI); GO:0005515 protein binding(IPI); GO:0005515 protein binding(IPI); GO:0005515 protein binding(IPI); GO:0005515 protein binding(IPI)
net_new	Q8BFZ4	Fbxl21	Mus musculus (Mouse)	23452856	6	GO:0005515 protein binding(IPI); GO:0005515 protein binding(IPI); GO:0005515 protein binding(IPI); GO:0005515 protein binding(IPI); GO:0005515 protein binding(IPI); GO:0005515 protein binding(IPI)
net_new	Q8BGD5	Cpt1c	Mus musculus (Mouse)	30135643	1	GO:0008474 palmitoyl-(protein) hydr(IDA)
net_new	Q8BHB0	Nod1	Mus musculus (Mouse)	16211083	1	GO:0042834 peptidoglycan binding(IDA)
net_new	Q8BHC7	Rhbdd1	Mus musculus (Mouse)	22795130	5	GO:0005515 protein binding(IPI); GO:0005515 protein binding(IPI); GO:0005515 protein binding(IPI); GO:0005515 protein binding(IPI); GO:0008233 peptidase activity(IDA)
net_new	Q8BHY3	Ano1	Mus musculus (Mouse)	28561733	2	GO:0005229 intracellularly calcium-(IDA); GO:0042803 protein homodimerization(IDA)
net_new	Q8BHY3	Ano1	Mus musculus (Mouse)	29236684	1	GO:0042802 identical protein bindin(IPI)
net_new	Q8BHY3	Ano1	Mus musculus (Mouse)	29236691	1	GO:0042802 identical protein bindin(IPI)
net_new	Q8BIF2	Rbfox3	Mus musculus (Mouse)	1483388	1	GO:0003677 DNA binding(IDA)
net_new	Q8BL03	Slc25a29	Mus musculus (Mouse)	12882971	1	GO:0015227 O-acyl-L-carnitine trans(IDA)
net_new	Q8BMG8	Slc25a32	Mus musculus (Mouse)	35727412	1	GO:0015230 FAD transmembrane transp(IMP)
net_new	Q8BMT4	Nrros	Mus musculus (Mouse)	24739962	2	GO:0005515 protein binding(IPI); GO:0005515 protein binding(IPI)
net_new	Q8BMT4	Nrros	Mus musculus (Mouse)	29909984	2	GO:0050431 transforming growth fact(IPI); GO:0141069 receptor ligand inhibito(IDA)
net_new	Q8BUG2	Cndp1	Mus musculus (Mouse)	24891507	2	GO:0016805 dipeptidase activity(ISO); GO:0016805 dipeptidase activity(IDA)
net_new	Q8BVA5	Ldah	Mus musculus (Mouse)	24357060	1	GO:0004771 sterol ester esterase ac(IDA)
net_new	Q8BXR5	Nalcn	Mus musculus (Mouse)	17448995	2	GO:0005261 monoatomic cation channe(IDA); GO:0022840 leak channel activity(IMP)
net_new	Q8C172	Cers6	Mus musculus (Mouse)	15823095	1	GO:0050291 sphingosine N-acyltransf(IDA)
net_new	Q8C196	Cps1	Mus musculus (Mouse)	19410549	1	GO:0005515 protein binding(IPI)
net_new	Q8C1E7	Tmem120a	Mus musculus (Mouse)	34374644	1	GO:0120225 coenzyme A binding(IDA)
net_new	Q8C255	Dpep2	Mus musculus (Mouse)	12738806	2	GO:0008238 exopeptidase activity(IDA); GO:0016805 dipeptidase activity(IDA)
net_new	Q8C3P7	Mettl3	Mus musculus (Mouse)	24394384	3	GO:0001734 mRNA m(6)A methyltransfe(IDA); GO:0005515 protein binding(IPI); GO:0005515 protein binding(IPI)
net_new	Q8C3P7	Mettl3	Mus musculus (Mouse)	25456834	1	GO:0001734 mRNA m(6)A methyltransfe(IMP)
net_new	Q8C3P7	Mettl3	Mus musculus (Mouse)	25569111	1	GO:0001734 mRNA m(6)A methyltransfe(IMP)
net_new	Q8C3Q5	Shisa7	Mus musculus (Mouse)	29199957	2	GO:0005515 protein binding(IPI); GO:0035255 ionotropic glutamate rec(IDA)
net_new	Q8C6L5	Cgas	Mus musculus (Mouse)	28214358	2	GO:0003690 double-stranded DNA bind(IDA); GO:0061501 2',3'-cyclic GMP-AMP syn(IDA)
net_new	Q8C9A2	Endov	Mus musculus (Mouse)	12853604	2	GO:0000287 magnesium ion binding(IDA); GO:0016888 DNA endonuclease activit(IDA)
net_new	Q8CDK2	Agbl2	Mus musculus (Mouse)	25103237	2	GO:0004181 metallocarboxypeptidase (IDA); GO:0004181 metallocarboxypeptidase (IMP)
net_new	Q8CJB9	Rnf40	Rattus norvegicus (Rat)	12121982	4	GO:0004842 ubiquitin-protein transf(IDA); GO:0005515 protein binding(IPI); GO:0005515 protein binding(IPI); GO:0031624 ubiquitin conjugating en(IDA)
net_new	Q8CM25	psbD1; psbD2	Thermosynechococcus vestitus	20558739	1	GO:0010242 oxygen evolving activity(EXP)
net_new	Q8CM25	psbD1; psbD2	Thermosynechococcus vestitus	25006873	1	GO:0010242 oxygen evolving activity(EXP)
net_new	Q8GIX7	adh	Moraxella sp. (strain TAE123	32596590	2	GO:0004022 alcohol dehydrogenase (N(EXP); GO:0120542 ethanol dehydrogenase (N(EXP)
net_new	Q8GIX7	adh	Moraxella sp. (strain TAE123	9660191	4	GO:0004022 alcohol dehydrogenase (N(EXP); GO:0004022 alcohol dehydrogenase (N(EXP); GO:0120542 ethanol dehydrogenase (N(EXP); GO:1990362 butanol dehydrogenase (N(EXP)
net_new	Q8GJM5	mcdA	Synechococcus elongatus (str	30520729	1	GO:0016887 ATP hydrolysis activity(EXP)
net_new	Q8GW72	FUC1	Arabidopsis thaliana (Mouse-	11788770	1	GO:0004560 alpha-L-fucosidase activ(IDA)
net_new	Q8HWE5	Mill2	Mus musculus (Mouse)	16920948	1	GO:0005515 protein binding(IPI)
net_new	Q8HWE7	Mill1	Mus musculus (Mouse)	16920948	1	GO:0005515 protein binding(IPI)
net_new	Q8I2S0	LipL2	Plasmodium falciparum (isola	17244193	1	GO:0016979 lipoate-protein ligase a(IDA)
net_new	Q8I2X3	GAP50	Plasmodium falciparum (isola	20070315	1	GO:0003993 acid phosphatase activit(IDA)
net_new	Q8IFM8	CyRPA	Plasmodium falciparum (isola	25583518	2	GO:0005515 protein binding(IPI); GO:0005515 protein binding(IPI)
net_new	Q8IFM8	CyRPA	Plasmodium falciparum (isola	27374406	1	GO:0005515 protein binding(IPI)
net_new	Q8IHY1	GCalpha	Plasmodium falciparum (isola	10747978	1	GO:0004383 guanylate cyclase activi(TAS)
net_new	Q8IIS0	DTD	Plasmodium falciparum (isola	24302572	2	GO:0051499 D-aminoacyl-tRNA deacyla(EXP); GO:0051500 D-tyrosyl-tRNA(Tyr) deac(EXP)
net_new	Q8IJS6	HO	Plasmodium falciparum (isola	22992734	1	GO:0004392 heme oxygenase (decycliz(IDA)
net_new	Q8ILT4	MCA3	Plasmodium falciparum (isola	31301397	1	GO:0008236 serine-type peptidase ac(IDA)
net_new	Q8ILY1	PREX	Plasmodium falciparum (isola	15926203	3	GO:0003678 DNA helicase activity(IDA); GO:0003887 DNA-directed DNA polymer(IDA); GO:0008408 3'-5' exonuclease activi(IDA)
net_new	Q8IM15	PMIII	Plasmodium falciparum (isola	16624575	1	GO:0004190 aspartic-type endopeptid(IDA)
net_new	Q8IM15	PMIII	Plasmodium falciparum (isola	18312598	1	GO:0004190 aspartic-type endopeptid(IDA)
net_new	Q8IVT5	KSR1	Homo sapiens (Human)	29433126	3	GO:0005515 protein binding(IPI); GO:0005524 ATP binding(IDA); GO:0071889 14-3-3 protein binding(IDA)
net_new	Q8IW41	MAPKAPK5	Homo sapiens (Human)	9628874	2	GO:0004674 protein serine/threonine(TAS); GO:0004708 MAP kinase kinase activi(TAS)
net_new	Q8IYW5	RNF168	Homo sapiens (Human)	19203578	7	GO:0003682 chromatin binding(IDA); GO:0004842 ubiquitin-protein transf(IDA); GO:0005515 protein binding(IPI); GO:0005515 protein binding(IPI); GO:0042393 histone binding(IDA); GO:0043130 ubiquitin binding(IDA)
net_new	Q8IYW5	RNF168	Homo sapiens (Human)	19203579	5	GO:0003682 chromatin binding(IDA); GO:0004842 ubiquitin-protein transf(IDA); GO:0042393 histone binding(IDA); GO:0043130 ubiquitin binding(IDA); GO:0061630 ubiquitin protein ligase(EXP)
net_new	Q8IYW5	RNF168	Homo sapiens (Human)	19500350	4	GO:0003682 chromatin binding(IDA); GO:0061630 ubiquitin protein ligase(EXP); GO:0070530 K63-linked polyubiquitin(IDA); GO:0140852 histone ubiquitin ligase(IDA)
net_new	Q8IYW5	RNF168	Homo sapiens (Human)	22980979	3	GO:0004842 ubiquitin-protein transf(IDA); GO:0061630 ubiquitin protein ligase(EXP); GO:0140852 histone ubiquitin ligase(IDA)
net_new	Q8IZF0	NALCN	Homo sapiens (Human)	32494638	1	GO:0005248 voltage-gated sodium cha(IMP)
net_new	Q8J2T0	nagA	Aspergillus oryzae (Yellow k	17509134	1	GO:0004563 beta-N-acetylhexosaminid(EXP)
net_new	Q8J2T0	nagA	Aspergillus oryzae (Yellow k	29239122	1	GO:0004563 beta-N-acetylhexosaminid(EXP)
net_new	Q8JHV9	birc7-a	Xenopus laevis (African claw	17008917	1	GO:0004869 cysteine-type endopeptid(IDA)
net_new	Q8K203	Neil3	Mus musculus (Mouse)	20185759	6	GO:0000405 bubble DNA binding(IDA); GO:0003690 double-stranded DNA bind(IDA); GO:0003697 single-stranded DNA bind(IDA); GO:0003906 DNA-(apurinic or apyrimi(IDA); GO:0019104 DNA N-glycosylase activi(IDA); GO:0140078 class I DNA-(apurinic or(EXP)
net_new	Q8K203	Neil3	Mus musculus (Mouse)	22569481	1	GO:0140078 class I DNA-(apurinic or(EXP)
net_new	Q8K2X3	Stn1	Mus musculus (Mouse)	19119139	2	GO:0003697 single-stranded DNA bind(IDA); GO:0005515 protein binding(IPI)
net_new	Q8K2X3	Stn1	Mus musculus (Mouse)	19854130	1	GO:0042162 telomeric repeat DNA bin(IDA)
net_new	Q8K4B2	Irak3	Mus musculus (Mouse)	12054681	4	GO:0000287 magnesium ion binding(IDA); GO:0004672 protein kinase activity(IDA); GO:0004674 protein serine/threonine(IDA); GO:0005524 ATP binding(IDA)
net_new	Q8K4J6	Mrtfa	Mus musculus (Mouse)	12732141	3	GO:0003713 transcription coactivato(IDA); GO:0003785 actin monomer binding(IDA); GO:0005515 protein binding(IPI)
net_new	Q8K4K2	Trib3	Mus musculus (Mouse)	12749859	3	GO:0003714 transcription corepresso(IDA); GO:0005515 protein binding(IPI); GO:0005515 protein binding(IPI)
net_new	Q8LAS8	SFGH	Arabidopsis thaliana (Mouse-	11888210	1	GO:0018738 S-formylglutathione hydr(IDA)
net_new	Q8LBL1	TPK1	Arabidopsis thaliana (Mouse-	9184204	2	GO:0015269 calcium-activated potass(IDA); GO:0015271 outward rectifier potass(IDA)
net_new	Q8MNV0	spas-1	Caenorhabditis elegans	17531954	3	GO:0005524 ATP binding(NAS); GO:0008568 microtubule severing ATP(IMP); GO:0016887 ATP hydrolysis activity(NAS)
net_new	Q8MZM7	CLIPB8	Anopheles gambiae (African m	26926112	1	GO:0004252 serine-type endopeptidas(IDA)
net_new	Q8N371	KDM8	Homo sapiens (Human)	20457893	2	GO:0003682 chromatin binding(IDA); GO:0051864 histone H3K36 demethylas(IDA)
net_new	Q8N371	KDM8	Homo sapiens (Human)	24981860	1	GO:0005515 protein binding(IPI)
net_new	Q8N3J5	PPM1K	Homo sapiens (Human)	17336929	2	GO:0004722 protein serine/threonine(EXP); GO:0047385 [3-methyl-2-oxobutanoate(EXP)
net_new	Q8N4S7	PAQR4	Homo sapiens (Human)	38961186	1	GO:0060090 molecular adaptor activi(IDA)
net_new	Q8N543	OGFOD1	Homo sapiens (Human)	24550447	2	GO:0031543 peptidyl-proline dioxyge(IDA); GO:0031544 peptidyl-proline 3-dioxy(EXP)
net_new	Q8N6M0	OTUD6B	Homo sapiens (Human)	21267069	1	GO:0004843 cysteine-type deubiquiti(IDA)
net_new	Q8N6T7	SIRT6	Homo sapiens (Human)	30374165	4	GO:0034979 NAD-dependent protein ly(EXP); GO:0046969 histone H3K9 deacetylase(IDA); GO:0140765 histone H3K56 deacetylas(IDA); GO:0140773 NAD-dependent protein de(IDA)
net_new	Q8NBK3	SUMF1	Homo sapiens (Human)	25931126	2	GO:0120147 formylglycine-generating(IDA); GO:1903135 cupric ion binding(IDA)
net_new	Q8NBN7	RDH13	Homo sapiens (Human)	18039331	1	GO:0052650 all-trans-retinol dehydr(IDA)
net_new	Q8NCQ7	PROCA1	Homo sapiens (Human)	15159402	1	GO:0030332 cyclin binding(IPI)
net_new	Q8NFG4	FLCN	Homo sapiens (Human)	24095279	1	GO:0005096 GTPase activator activit(IDA)
net_new	Q8NFU7	TET1	Homo sapiens (Human)	21496894	4	GO:0000978 RNA polymerase II cis-re(IDA); GO:0008327 methyl-CpG binding(IDA); GO:0070579 DNA 5-methylcytosine dio(IDA); GO:0070579 DNA 5-methylcytosine dio(IMP)
